,asin,text,rating,time
44,B0008F6WMM,appreciate quick son open expensive free locker spend wish wish,4,1477353600
45,B0008F6WMM,helmet arrive,3,1476144000
46,B0008F6WMM,old fear crack expensive,4,1436227200
47,B0008F6WMM,son birthday used wait,1,1419811200
48,B0008F6WMM,huge lot expect otherwise straightforward include,4,1419552000
49,B0008F6WMM,christmas due fine middle plastic heavy hold,4,1414022400
50,B0008F6WMM,helmet cute durable loud old helmet halloween complain helmet oversized bobble huge impractical junior operate close open helmet prone break mishandle helmet halloween visor helmet box walk heard remove break hassle free impractical,3,1386547200
51,B0008F6WMM,helmet accept,1,1382918400
52,B0008F6WMM,please listen multiple poor open saw reviewer bobble,2,1382486400
53,B0008F6WMM,huge width stay roll front tall remain white cover entire face design build child play frustrate head walk stay main choose let send disappointed,1,1376438400
54,B0008F6WMM,son hard warning open helmet huge suggest pad recommended padding,1,1347408000
55,B0008F6WMM,awful,1,1321488000
56,B0008F6WMM,excited unpack read mechanic hear check stuck open disappointed old empty,2,1285632000
57,B0008F6WMM,huge head andre helmet son normal bobble clunky halloween costume white cute realistic hear helmet sound countdown else flipping helmet helmet open,2,1257206400
58,B0009A6KFA,whish remember store different info dvd expect actual digital send actual high close diagram white close white ok ok engrave bold expect bold expect least direct support stone expect select scan automated,3,1127174400
59,B0009M96EK,narrow stiff,3,1325030400
60,B0009M96EK,easy correct,5,1419897600
61,B0009M96EK,disappointed sole hard,1,1391558400
62,B0009NYJF0,string break shoe pull hard tie second rip,1,1380585600
63,B0009NYJF0,child cute shoe slouch foot untie tier tie bootie cute oh huge super easy ret,3,1414108800
64,B000AL4RXA,bostonian shoe break shoe bostonian immediatley india past bostonian include previous bostonian felt guess bostonian careful gabriel open,1,1282694400
65,B000AL4RXA,retruned,1,1473638400
66,B000AL4RXA,first,4,1450656000
67,B000AO7PY0,short,2,1516924800
68,B000AO7PY0,photo dime shame sure fluke,2,1509580800
69,B000AO7PY0,unable disappointed,1,1477958400
70,B000AO7PY0,tried huh send girl,2,1389571200
71,B000AO7PY0,sunday black white purple black item right frustrated note,2,1381363200
72,B000C0OK5O,submit,1,1507680000
73,B000C0OK5O,excite pleased ala,3,1303344000
74,B000C0OK5O,guess sizing thigh high stop thigh additional extended window loose,2,1275955200
75,B000E3AUIA,huge,2,1418601600
76,B000E3AUIA,glad bag various vouch carry item daily regret improve,5,1395964800
77,B000E3AUIA,stitching loose strap evident norm,2,1389312000
78,B000E3AUIA,bag huge bag,2,1383782400
79,B000E3AUIA,review online perfect study asl current semester wonderful basic laptop built laptop bum purchase tight fitting enough study note bit assume laptop standard laptop laptop fantastic standard laptop,4,1380672000
80,B000E3AUIA,weight normal everyday bummed best,3,1360022400
81,B000E3AUIA,disappointed huge decide glad carry gym happy hold compartment,4,1250899200
82,B000E9LSSK,real costume prong bent normal comfortable,3,1191888000
83,B000EB3RXM,tear worth flimsy original,2,1479600000
84,B000EB3RXM,windows inch loading tell send right second wrong ask request wait disappointed fine,2,1372636800
85,B000EE1NNA,medium chest full loose long cover different corset,2,1325635200
86,B000EE1NNA,happy,1,1515196800
87,B000EE1NNA,im lbs waist spacious short blue short legging fix decent costume worn disappointed belt boot include rat star costume distrustful late,4,1510099200
88,B000EE1NNA,disappointed feed wonderwoman costume,1,1510012800
89,B000EE1NNA,bottom full sturdy stand red,2,1482624000
90,B000EE1NNA,tiara,1,1479772800
91,B000EE1NNA,costume lbs ridiculous err comfortable costume expect,3,1478649600
92,B000EE1NNA,arrive open unfold trasfering upset needle,1,1478217600
93,B000EE1NNA,xl dress mini,4,1477958400
94,B000EE1NNA,disappointed melt arrival poor suggest impossible ware helpful awful super itchy hot uncomfortable open melt pull unhappy sure returnable unpackaged,2,1477872000
95,B000EE1NNA,correct wish read costume disappointed next,4,1477872000
96,B000EE1NNA,item star sizing huge shiny skirt terrible stick late unwearable costume,1,1477785600
97,B000EE1NNA,ill wonder costume straight wish,1,1477267200
98,B000EE1NNA,usual head pull remove fabric stiff cape hole include,1,1477267200
99,B000EE1NNA,poor,1,1476835200
100,B000EE1NNA,stick package pull stick,3,1476316800
101,B000EE1NNA,efficient account end due expect,5,1476144000
102,B000EE1NNA,flat,2,1472860800
103,B000EE1NNA,fabric follow provide seller print successful,3,1468800000
104,B000EE1NNA,expect attach tight sleek bunch,2,1463097600
105,B000EE1NNA,expect meaning costume cute,4,1461974400
106,B000EE1NNA,proportion accurate huge chest elastic back entire uneven opening tag snip super wide sew attempt disappointed worth,1,1460332800
107,B000EE1NNA,different,4,1452556800
108,B000EE1NNA,outfit baggy waist update,4,1447200000
109,B000EE1NNA,thin,1,1447113600
110,B000EE1NNA,outfit bustier belt defective fade front,2,1446595200
111,B000EE1NNA,foam underneath,1,1445904000
112,B000EE1NNA,horrible difficult,1,1445040000
113,B000EE1NNA,similar arrive costume poor exact different sizing send wrong attempt tiny store fine,1,1443139200
114,B000EE1NNA,awful cheaply end,1,1442016000
115,B000EE1NNA,win thigh,2,1424736000
116,B000EE1NNA,sz,5,1420502400
117,B000EE1NNA,several reach acknowledge,1,1417996800
118,B000EE1NNA,thin expect,1,1417564800
119,B000EE1NNA,comfortable tight arrive halloween hold costume cute normal couple,5,1414627200
120,B000EE1NNA,cute sizing odd belt include side fasten full ok long bulky,3,1381104000
121,B000EE1NNA,costume long un happy easy least right,1,1380758400
122,B000EE1NNA,shiny bulged bubble ruffle enough loose bulgy loose loose terrible thin shiny difficult lose flat shiny unadjustable oppose feeling loose boot velvet elastic meant loose velvet lb tweak basic costume attractive shiny short modest wonder comic secret wish corset least cost awesome,2,1373414400
123,B000ER9V68,lb neckline due strap modify decent,3,1476144000
124,B000ER9V68,headband reship,3,1475452800
125,B000ER9V68,shed bit pleased,4,1464739200
126,B000ER9V68,recommend true due,5,1457913600
127,B000ER9V68,expect extra happier overall enough possible clothe,4,1446595200
128,B000ER9V68,thinking costume learn,3,1446508800
129,B000ER9V68,wrong similar disappointing,2,1445644800
130,B000ER9V68,costume pay,1,1445212800
131,B000ER9V68,lousy,1,1428883200
132,B000ER9V68,read loose medium different med,5,1420070400
133,B000ER9V68,read bust,2,1417651200
134,B000ER9V68,slim chest loose half perfect dress,2,1415059200
135,B000ER9V68,snug halloween headband break okay last halloween add win eat,3,1411689600
136,B000ER9V68,comfortable entire,3,1411516800
137,B000ER9V68,let,1,1404345600
138,B000ER9V68,send expect note arrive super,4,1398297600
139,B000ER9V68,read clear arrive chart hope dress past realize skewed,3,1397088000
140,B000ER9V68,roaring short prepare pantyhose underneath sizing pretty accurate hang loose middle,4,1396396800
141,B000ER9V68,costume fringe wouldnt due,2,1394755200
142,B000ER9V68,send,1,1388361600
143,B000ER9V68,expect roomy,1,1385251200
144,B000ER9V68,follow thank goodness dress tolerable sit bust impress inexpensive costume,3,1384214400
145,B000ER9V68,sizing recommend expect,3,1383609600
146,B000ER9V68,happy close,3,1379116800
147,B000ER9V68,tight ok comfortable ride right pant identical costume bottom neckline black shiny plainness black better comfortable confident,3,1377907200
148,B000ER9V68,black red easy,2,1377216000
149,B000ER9V68,material true dress pas,1,1376438400
150,B000ER9V68,costume senior senior measurement medium suggest,4,1376006400
151,B000ER9V68,arrive short tight recommend,4,1374451200
152,B000ER9V68,overprice difficult substandard unused,1,1371427200
153,B000ER9V68,roaring head due,3,1365292800
154,B000ER9V68,solid prefer bottom thigh costume expect fancy trick read glove hong arrive,3,1356998400
155,B000ER9V68,measurement fabric,2,1355875200
156,B000ER9V68,costume material synthetic shed expect costume suppose let synthetic,2,1354665600
157,B000ER9V68,pleased sizing warn loose fine flapper past chest happen curvy wish,3,1350518400
158,B000ER9V68,choose xl bust disappoint flimsy short tight expensive short let alone sit accept,3,1332028800
159,B000ER9V68,expect full medium safe shimmy enough spanx,2,1296604800
160,B000EVEAS8,win dry refund,2,1172361600
161,B000EVEAS8,worth christmas like changeable felt assume ask heavy rat,1,1514160000
162,B000EVEAS8,sizing short cozy wait next,5,1452816000
163,B000EVEAS8,beautiful soft,4,1422230400
164,B000EVEAS8,petite huge warm disappointed,2,1390521600
165,B000EVEAS8,mom hot,2,1388275200
166,B000EVEAS8,correct fantastic huge tall extra,2,1386028800
167,B000EVEAS8,full ankle perfect warm soft else red fade rich red show advise next width wide pant bulky weird short precise send full full continue,2,1385337600
168,B000EVEAS8,perfect upset miss,5,1385078400
169,B000EVEAS8,warmer prior extra collar weird unable expect high,2,1295654400
170,B000FIWCZ8,double last replace second last less throw decide careful follow,1,1182211200
171,B000FSIFC2,hold plastic snap win wrap,1,1296432000
172,B000G01UBW,offer available offer actual sleeve disappointed send available best full,3,1258761600
173,B000G01UBW,comfortable fantastic remove regular require collar short elastic cruise formal fine cruise second formal tight final formal collar close collar hold close shrinking extra,5,1524700800
174,B000G01UBW,sleeve wide fist double breast extra correct credence reviewer exact shirt next,2,1518739200
175,B000G01UBW,open sleeve sleeve button french mean sure high pride cant,2,1516406400
176,B000G01UBW,meet numerous french neil expect recommend poly shirt,2,1491004800
177,B000G01UBW,second advise thank,5,1454803200
178,B000G01UBW,exact sleeve arrive sewn reading xl curious disappointed,2,1447718400
179,B000G01UBW,star pay,1,1429228800
180,B000G01UBW,sizing read decide sufficient positive substantiate believe correct frustrate,1,1404691200
181,B000G01UBW,shirt wide friend,2,1391644800
182,B000G01UBW,stud plastic shirt regular stud break,2,1390262400
183,B000G01UBW,stated correct email,1,1338768000
184,B000GHMRLW,carhartt various blue duck waist loose tight usual formal formal normal cold dry tight breathe unexpected disappointed,1,1522800000
185,B000GHMRLW,sizing accurate short,1,1519603200
186,B000GHMRLW,pant,4,1516924800
187,B000GHMRLW,comfortable iphone inch right total carhartt inch useable whole,3,1514851200
188,B000GHMRLW,sure wrong carhartt,3,1510531200
189,B000GHMRLW,loose waist,3,1508544000
190,B000GHMRLW,standard baggy thigh wrong different,4,1505692800
191,B000GHMRLW,cut normal waist let close,3,1504396800
192,B000GHMRLW,pant local last carhartt sizing old fine tight incredible old esteem pant stand hold wrinkle,5,1503705600
193,B000GHMRLW,diabetic thigh reasonable pant high shot jean easy ball squish read,5,1502928000
194,B000GHMRLW,pair defective second easy,5,1502668800
195,B000GHMRLW,sizing wash exist carhartts nominal sit unworn miss window,2,1500595200
196,B000GHMRLW,right sure stain sealed,2,1496275200
197,B000GHMRLW,dark loose left side right sew right hammer loop rear perfect,2,1495670400
198,B000GHMRLW,old regular,3,1491091200
199,B000GHMRLW,everyday poor tight loose fine turn different pant heavy material lightweight khaki material suggest odd,2,1489017600
200,B000GHMRLW,true levi help,4,1485129600
201,B000GHMRLW,short carhartt weird right,5,1484092800
202,B000GHMRLW,pant arrive durable waist levi tight second,3,1482019200
203,B000GHMRLW,wrong wrong,1,1481587200
204,B000GHMRLW,pair snug sure high pant happy,5,1473292800
205,B000GHMRLW,expect tight waist loose different,3,1460937600
206,B000GHMRLW,tight expect loose loose tight skinny least,3,1459468800
207,B000GHMRLW,handful pant several different replace worn loose waist huge replace favorite,2,1458691200
208,B000GHMRLW,item traditional,2,1455667200
209,B000GHMRLW,pretty tight wash tight rip assume,2,1454284800
210,B000GHMRLW,old pant long thin different highlight ridiculous old pant carhartt quality high old refund,1,1454025600
211,B000GHMRLW,exact next pant fine wish,3,1452816000
212,B000GHMRLW,mis,1,1449792000
213,B000GHMRLW,tend pant smallish normal easy high expect dramatic different casual,4,1443830400
214,B000GHMRLW,exact pair listed inseam pay second navy first pant exact label different wrong stay unwearable pair different worth pant lose enough,2,1435795200
215,B000GHMRLW,comfortable expect,5,1429833600
216,B000GHMRLW,ok casual everyday outdoor lightweight next relaxed,3,1425427200
217,B000GHMRLW,pant fine pant stupid different waist close waist cautious,3,1423699200
218,B000GHMRLW,pant happy spend extra worth extra disappointed feeling imo pant spending add,2,1415059200
219,B000GHMRLW,carhartt waist trim tall loose universe,1,1413849600
220,B000GHMRLW,sell loose waist suggest next,3,1406592000
221,B000GHMRLW,baggy definitley relaxed,1,1402185600
222,B000GHMRLW,pant arrive knee upset,2,1400112000
223,B000GHMRLW,stay happen become quantity le pant fabric durable pant best carhartt thought fulfill due experience seller aware,3,1397606400
224,B000GHMRLW,comfortable loose relaxed carhartt lose,5,1395878400
225,B000GHMRLW,jean email,2,1394668800
226,B000GHMRLW,ok butt golden last assume similar exaggeration cut extra several hot hot cut funky carhartt pant,1,1373673600
227,B000GHRZN2,carhartt various blue duck waist loose tight usual formal formal normal cold dry tight breathe unexpected disappointed,1,1522800000
228,B000GHRZN2,sizing accurate short,1,1519603200
229,B000GHRZN2,pant,4,1516924800
230,B000GHRZN2,comfortable iphone inch right total carhartt inch useable whole,3,1514851200
231,B000GHRZN2,sure wrong carhartt,3,1510531200
232,B000GHRZN2,loose waist,3,1508544000
233,B000GHRZN2,standard baggy thigh wrong different,4,1505692800
234,B000GHRZN2,cut normal waist let close,3,1504396800
235,B000GHRZN2,pant local last carhartt sizing old fine tight incredible old esteem pant stand hold wrinkle,5,1503705600
236,B000GHRZN2,diabetic thigh reasonable pant high shot jean easy ball squish read,5,1502928000
237,B000GHRZN2,pair defective second easy,5,1502668800
238,B000GHRZN2,sizing wash exist carhartts nominal sit unworn miss window,2,1500595200
239,B000GHRZN2,right sure stain sealed,2,1496275200
240,B000GHRZN2,dark loose left side right sew right hammer loop rear perfect,2,1495670400
241,B000GHRZN2,old regular,3,1491091200
242,B000GHRZN2,everyday poor tight loose fine turn different pant heavy material lightweight khaki material suggest odd,2,1489017600
243,B000GHRZN2,true levi help,4,1485129600
244,B000GHRZN2,short carhartt weird right,5,1484092800
245,B000GHRZN2,pant arrive durable waist levi tight second,3,1482019200
246,B000GHRZN2,wrong wrong,1,1481587200
247,B000GHRZN2,pair snug sure high pant happy,5,1473292800
248,B000GHRZN2,expect tight waist loose different,3,1460937600
249,B000GHRZN2,tight expect loose loose tight skinny least,3,1459468800
250,B000GHRZN2,handful pant several different replace worn loose waist huge replace favorite,2,1458691200
251,B000GHRZN2,item traditional,2,1455667200
252,B000GHRZN2,pretty tight wash tight rip assume,2,1454284800
253,B000GHRZN2,old pant long thin different highlight ridiculous old pant carhartt quality high old refund,1,1454025600
254,B000GHRZN2,exact next pant fine wish,3,1452816000
255,B000GHRZN2,mis,1,1449792000
256,B000GHRZN2,tend pant smallish normal easy high expect dramatic different casual,4,1443830400
257,B000GHRZN2,exact pair listed inseam pay second navy first pant exact label different wrong stay unwearable pair different worth pant lose enough,2,1435795200
258,B000GHRZN2,comfortable expect,5,1429833600
259,B000GHRZN2,ok casual everyday outdoor lightweight next relaxed,3,1425427200
260,B000GHRZN2,pant fine pant stupid different waist close waist cautious,3,1423699200
261,B000GHRZN2,pant happy spend extra worth extra disappointed feeling imo pant spending add,2,1415059200
262,B000GHRZN2,carhartt waist trim tall loose universe,1,1413849600
263,B000GHRZN2,sell loose waist suggest next,3,1406592000
264,B000GHRZN2,baggy definitley relaxed,1,1402185600
265,B000GHRZN2,pant arrive knee upset,2,1400112000
266,B000GHRZN2,stay happen become quantity le pant fabric durable pant best carhartt thought fulfill due experience seller aware,3,1397606400
267,B000GHRZN2,comfortable loose relaxed carhartt lose,5,1395878400
268,B000GHRZN2,jean email,2,1394668800
269,B000GHRZN2,ok butt golden last assume similar exaggeration cut extra several hot hot cut funky carhartt pant,1,1373673600
270,B000GWQKW4,beautiful last experience ridiculous lose fell lose,1,1235952000
271,B000H2PMMW,miss italian hard,1,1257033600
272,B000H2PMMW,modernize current tux wash ironed send cleaner ruin medium neck sleeve baggy cut flat reduce guess,5,1517875200
273,B000H2PMMW,shirt negative surprise sleeve expect pique front uniform fix tuxedo shirt middle quick,4,1503878400
274,B000H2PMMW,black,2,1500336000
275,B000H2PMMW,easy satisfied,5,1492473600
276,B000H2PMMW,shirt,4,1488844800
277,B000H2PMMW,fabric miss,2,1437609600
278,B000H2PMMW,collar expect compare collar stick clear,1,1430870400
279,B000H2PMMW,related photo website shirt riaised turn front left right drive retune,1,1406764800
280,B000H2PMMW,french fabric thin gon shirt cut huge slim cut,3,1395100800
281,B000H3Z9RO,toddler third old,1,1397174400
282,B000HKNEA6,effective maas polish,1,1170892800
283,B000HQ4P9O,halloween expect grown,3,1444262400
284,B000IUX7U2,whats disappointed,1,1513641600
285,B000IUX7U2,begin fall miss,1,1435795200
286,B000J3ROES,like,2,1357257600
287,B000JOOR7O,awesome perfect first simple easy correct,5,1523318400
288,B000JOOR7O,regular wrong,5,1519257600
289,B000JOOR7O,appear,4,1517875200
290,B000JOOR7O,happen right,2,1515542400
291,B000JOOR7O,van half suck local,1,1513728000
292,B000JOOR7O,shoe,5,1506124800
293,B000JOOR7O,horrible wish padding hurt walk dissapointed,1,1502323200
294,B000JOOR7O,shoe excited least half,3,1501113600
295,B000JOOR7O,wait,3,1500940800
296,B000JOOR7O,yea issue shoe bc different different next,5,1500595200
297,B000JOOR7O,gift,5,1497398400
298,B000JOOR7O,proper,1,1494633600
299,B000JOOR7O,super tight expect miss,4,1493337600
300,B000JOOR7O,rough glue elastic raw expensive add,2,1489881600
301,B000JOOR7O,classic wrong regular,4,1485388800
302,B000JOOR7O,tight simple,4,1482969600
303,B000JOOR7O,ran available,5,1478649600
304,B000JOOR7O,bought previous barely sure online,2,1471824000
305,B000JOOR7O,sizing shoe expect extra shoe toe opening shoe stamp mi shoe upper thin seam unfinished consider van total,1,1468627200
306,B000JOOR7O,wide supposed equivalent,3,1459900800
307,B000JOOR7O,ask shoe obedient birthday arrive delighted tight exchange unfortunately past shoe unworn original willing red unisex advise,2,1459814400
308,B000JOOR7O,wish,1,1457740800
309,B000JOOR7O,wide female different expect original shoe lose,3,1454284800
310,B000JOOR7O,expect felt left foot,4,1453420800
311,B000JOOR7O,arrive front shoe,1,1453334400
312,B000JOOR7O,wrong,3,1449878400
313,B000JOOR7O,comfortable walk,2,1446595200
314,B000JOOR7O,wrong,3,1438128000
315,B000JOOR7O,shoe alright cover walk least flip flop uncomfortable shoe uncomfortable real worry regret outside sure inflict,1,1437955200
316,B000JOOR7O,expect shoe hard win opening narrow similar van,2,1435708800
317,B000JOOR7O,hassle friend,1,1425945600
318,B000JOOR7O,replace hole equal tight left post half high ped bottom last last read require sock,4,1425081600
319,B000JOOR7O,several sure expensive,1,1420934400
320,B000JOOR7O,recieved perfect theynare,5,1415750400
321,B000JOOR7O,teenage frustrate,5,1410652800
322,B000JOOR7O,last worn begin shoe,1,1405382400
323,B000JOOR7O,wrong correct available disappointed,2,1401062400
324,B000JOOR7O,casual dressy side right pleased,4,1390348800
325,B000JOOR7O,pinkish red expect shoe tight accept refund,2,1389312000
326,B000JOOR7O,arrive battered ink stop happy inconvenience,2,1386633600
327,B000JOOR7O,careful shipping suck shoe sed tiny loose,4,1385251200
328,B000JOOR7O,van narrow,3,1384387200
329,B000JOOR7O,depend several converse similar snug wrong huge foot slide live,2,1366502400
330,B000JOOR7O,true foot upper tight length true upper allow thin misshapen win normal shoe shipment misleading shoezoo website sure choose offer free,2,1359158400
331,B000JOOR7O,original sizing wrong old huge,3,1354406400
332,B000JOOR7O,read review convince replace daily include easy unhappy closer tight supportive worth fifty nione returnable vendor skeptical,1,1347408000
333,B000JOOR7O,high next next produce easy string clear realize online let sure random title mean actual aware obvious shoe email send appreciate confirm unfortunately explain help last last display email shoe asap checked email checked happen last undersized tried shipping overdue moral exact save,4,1322265600
334,B000JRNAGK,shoe ahigh,3,1437782400
335,B000JRNAGK,potential major minor full athletic width suppose crazy unfit sizing long,2,1366761600
336,B000K2PJ4K,sizing particular boxer,3,1440979200
337,B000K2PJ4K,first happen live,1,1417132800
338,B000K2PJ4K,expect smooth stretch disappointed advertise worth australia,2,1403136000
339,B000KKPX0C,several loose stretch high,4,1488153600
340,B000KKPX0C,husband point pair superior,4,1429833600
341,B000KPIHQ4,free high trick free,1,1525824000
342,B000KPIHQ4,recommend physical recommended,4,1525737600
343,B000KPIHQ4,daily sprain ankle insole red less switch additional red uncomfortable red insole,5,1525219200
344,B000KPIHQ4,returnable gamble expect thin goodwill,1,1522108800
345,B000KPIHQ4,sturdy inspect first start arrive blue rear peal returnable due im useless,1,1522022400
346,B000KPIHQ4,right careful accept turn,1,1520812800
347,B000KPIHQ4,arrive shoe uncomfortable due shoe eligible,1,1520208000
348,B000KPIHQ4,plantar,5,1518912000
349,B000KPIHQ4,help ball hurt walk swell deny read sit collect disappointed,1,1518825600
350,B000KPIHQ4,terrible recommend multiple,1,1517961600
351,B000KPIHQ4,provide stiff shoe help arch support non returnable,1,1517788800
352,B000KPIHQ4,comfortable high hard expect insert eligible free eligible,1,1517616000
353,B000KPIHQ4,protech protech insole spare swap insole left arch painful,1,1517184000
354,B000KPIHQ4,terrible terrible chinese beware terrible accept,1,1517184000
355,B000KPIHQ4,soft comfortable,1,1517097600
356,B000KPIHQ4,relieve unbearable full,2,1516838400
357,B000KPIHQ4,returnable wide narrow footed high,1,1516320000
358,B000KPIHQ4,hard wide shoe,2,1515888000
359,B000KPIHQ4,outside seal open appear bottom high towards sure free throw,1,1515801600
360,B000KPIHQ4,knockoff blue peel several returnable total,2,1515024000
361,B000KPIHQ4,happy unhappy,1,1514851200
362,B000KPIHQ4,high aware,1,1514332800
363,B000KPIHQ4,stiff,2,1511481600
364,B000KPIHQ4,eligible heel,1,1510358400
365,B000KPIHQ4,terrible cushioning disappointed thin hard rigid type eligible,1,1509321600
366,B000KPIHQ4,thick trim unable several different high uncomfortable normal,1,1509321600
367,B000KPIHQ4,available,1,1508544000
368,B000KPIHQ4,cut uo expensive alternative,1,1507334400
369,B000KPIHQ4,high existent uncomfortable painful unwearable sturdy,3,1506988800
370,B000KPIHQ4,insole sturdy supportive recommend,5,1506384000
371,B000KPIHQ4,flat stand second full start begin admit first second thought arch hurt box maxx,5,1505692800
372,B000KPIHQ4,right sure right,1,1505606400
373,B000KPIHQ4,running thin hard removable uncomfortable thought insole insole soft thin hard soft comfortable due,5,1504828800
374,B000KPIHQ4,shoe inch wide multiple due incorrect,1,1504742400
375,B000KPIHQ4,insole high arch cause pain searching,3,1504224000
376,B000KPIHQ4,fix last happy,5,1504137600
377,B000KPIHQ4,multiple replace insole miserable pronate miserable improve correct possible shoe add equate similar pillo tight supportive uncomfortable first original blue move different full hundred wasted insert recommend zappos generous ship provide affordable expensive athletic comfortable insert additional pinnacle cushioned pad shoe surprise comfortable expensive insert best expand suffer,5,1500336000
378,B000KPIHQ4,insole sure lose,1,1496966400
379,B000KPIHQ4,expect used several plantar fasciaitis,5,1494201600
380,B000KPIHQ4,normal higher,1,1493164800
381,B000KPIHQ4,hard hit shoe,1,1492905600
382,B000KPIHQ4,expect alternative athletic hard wide purpose casual exact regular wide,3,1491609600
383,B000KPIHQ4,high,3,1489708800
384,B000KPIHQ4,supportive high comfortable sufficient narrow wide edge unused,2,1486857600
385,B000KPIHQ4,hard thought hard wrong regular pro insert regular wrong easy,3,1484524800
386,B000KPIHQ4,recommend podiatrist relieve suggest local running felt strange correct foot alignment break suggest second reach relieve help bursitis win win second shoe switch second casual huge worth,5,1484352000
387,B000KPIHQ4,heel stand uncomfortable,2,1484092800
388,B000KPIHQ4,sure toe different,2,1479168000
389,B000KPIHQ4,felt,1,1478995200
390,B000KPIHQ4,physical issue everyday,5,1476748800
391,B000KPIHQ4,several recent defect old care window left old right diabetic walk,2,1476662400
392,B000KPIHQ4,width mainstream easy width perfect add flat orthotic thick shoe foot,4,1475712000
393,B000KPIHQ4,disapponired mailing cushioned dr paperwork enclose,1,1474675200
394,B000KPIHQ4,arch cushioning right thick main high uncomfortable original believe arch blue black high hard feeling arch arch height original,3,1472947200
395,B000KPIHQ4,supportave thick compete offering,3,1472428800
396,B000KPIHQ4,orthotic flexible perfect alleviate flat left usual develop painful right toe right twist weak high old ten podiatrist couple comfortable stumble decide non offer free lose wave trek shoe wide hurt bother aware natural next,5,1469923200
397,B000KPIHQ4,several powersteps induce consider spend walk concrete full recommend,5,1465430400
398,B000KPIHQ4,invisible rid disappear hold,5,1459209600
399,B000KPIHQ4,excellent ample comfortable heel cup wide,4,1458691200
400,B000KPIHQ4,help,4,1442448000
401,B000KPIHQ4,overpronate shoe,2,1439942400
402,B000KPIHQ4,provide short shoe athletic short,5,1432166400
403,B000KPIHQ4,wait wrong oh,5,1429142400
404,B000KPIHQ4,insole inner shoe ee fine stand entire insole plantar comfortable expensive save appear prime write,4,1409184000
405,B000KPIHQ4,width fine full short trim wait long short btw tiny thick ok,2,1402012800
