text,category
"Regarding the feasability of retrieving the HST for repair and
relaunching it:

(Caution: speculation mode engaged)
There is another consideration that hasn't been mentioned yet.
I expect that retrieving HST would involve 'damaging' it considerably in
order to return it to its cradle in the cargo bay.  Most of the deployed
items (antennas and, especially, the solar arays) probably are not
retractable into their fully stowed position, even by hand.  They would
have to be removed by the astronauts.  (The only advantage that this
might yield is that we could put new panels on that don't 'ring' due
to thermal cycle stresses...)

I also expect that, as has been discussed, the landing loads on the
HST optics structure is a big issue (but that the reentry loads are
much less so.)  Can the moveable optical components even be re-caged
(I assume that they were caged for launch)?

-----------------------------------------------------------------------------
Michael Corvin 	      				zwork@starfighter.den.mmc.com
GN&C R&D					Martin Marietta Astronautics
-----------------------------------------------------------------------------
===============    My views, not Martin Marietta's   ========================",3
"


A similar reason is why people at work, used to seeing SCO unix running
on a 486, are suprised when they see my Sun-3 at home running faster w/a 16MHz
68020/68881.  The Sun was designed from the ground up for UNIX, the PC
wasn't.

This is why you need a gargantuan processor to run Windows.  The basic
design of the box is all wrong. (Would've been better if MS had put most
of Windows on a plug-in ROM card from day one. (priced at $24.95 or
so...) People woulda loved it.

Apple had the right idea, just stumbled a bit in the execution.

-Pete
",1
"kmr4@po.CWRU.edu (Keith M. Ryan) Pontificated: 

Is this from the Quran (or however it's spelled)?
",0
"

I just installed a MC Power Arc II, and it seems to run great. I also
used MC coils, and neither the ignition module or the coils required
any new mounting holes to be drilled on my 92 FXSTC. A little soldering
and all was fine. Static timing was real easy to set too. 

On the other side of the coin, my local wrench, whose opinion I
invariably seek but don't always adopt, thinks MC Power Arc is a ""piece
of shit"" and says ""all them Jap chips are gonna fail you one day"". 
Needless to say, he doesn't like any electronic ignition modules, and
recommends the Dyna-S system. I think that's the one with the
Hall-effect timing sensor(s), correct?",2
"

What is your reaction to people who claim they were abducted by space aliens?

Some of these people say, ""I was abducted, experimented on, etc.""
If we insist that these aliens don't exist is the burden of proof placed on
us. These people can give no hard facts but can give a lot of testimony to
back up their beliefs.

Replace <space aliens> with <elvis>, <big foot>, <blue unicorns>, 
and we have a larger percentage of the population than I like to think
about.",0
"I have often thought about, if its possible to have a powerfull laser
on earth, to light at the Moon, and show lasergraphics at the surface
so clearly that you can see it with your eyes when there is a new
moon.

How about a Coca Cola logo at the moon, easy way to target billions of
people.

Do you know if its possible?

",3
" 
 
 
After insult, Gregg resorts to lies:
 
 ",0
"
Try coming up with your own definition of any or all ""self-hating"" peoples.
To me, any who reject their culture to the point where they *only* see the
absolute negatives of that culture (generally, or regarding a particular
event) and accept *only* those views purely opposing aspects of that culture 
(thus, selective belief in and use of historical facts and a complete ignoring
of ""context"" results) ""hate"" their culture. That certainly describes Elias, 
since he has no intention of recognizing that, alongside the Palestinian
experience and perspective, there exists also that of Israelis. 
And, this is precisely why Israeli society has been tremendously harmed
by the actions it (its government) has *felt it had to take* in response
to an ""other"" perceived as a threat. Just as with you, there has long 
been a strident and emotional debate about the pain Israelis feel when 
forced to ""balance"" desires for survival and moral beliefs. The trauma
of having to make that choice is made worse by the fact that neither
can be conveniently brushed aside (as a result of a reasoned political
debate) for the sake of the other, only reshaped. 
",4
"

Okay, here's what to do.   Get a drill and a sanding disk. Use, say a 
100 disk and go at it at a very low rpm.  If you don't have a drill, try
coarse steel wool and brake fluid.  Dot 4 has an uncanny knack for removing
_any_ paint imperfections.

Oh, I'm not responsible for misuse or miapplication of either of these
techniques.",2
"
Why? There is no need to go into this.......


especially this rivetting piece of information.


As I remember, someone did ask if UV had a speach code. But, really,
there is no need for this brief survey course. 


How wonderful for you.


",4
"
We want to give lawyers something to do in the 21st cen., don't we?


Oh I bet you do.  They are probably just better at it than our crooks. :-)
",3
"

	They must be theists in disguise.

	In any event, we don't _need_ to create religious parodies: just 
look at some actual religions which are absurd.


[34mAnd now . . . [35mDeep Thoughts[0m
	[32mby Jack Handey.[0m",0
"

   >Bull shit. There is no reason in the world why we can't say that
   >taking views analogous to the KKK's or some such organization is
   >wrong. There is no reason why some morality may not be legislated. As
   >it is we do not allow theft, or murder, or rape. Why should we allow
   >hateful sppech whose only purpose is to stir anger and violence.
   >Harry.

   I think the answer to Mr. Mayamsky's question can be found in the
	 		 ^^^^^^^^^^^^^^(Mr. Mamaysky's)
   first amendment to the US Constitution.

	   Amendment I                                           (1791)

	   Congress shall make no law respecting an establishment of
	   religion, or prohibiting the free exercise thereof; or
	   abridging the freedom of speech, or of the press; or the
	   right of the people peaceably to assemble, and to petition
	   the government for a redress of grievances.

   Steve

I do not say that freedom of speech should be banned. Far from it.
I am merely suggesting that there are certain things which can be
universally agreed to be morally incorrect. There are not many such
things. But there are some. As an example:

(1) murder is morally incorrect

(2) the idea that one group of people is somehow racially inferior to
another is morally incorrect

etc.

The point is that any action which serves to promote a morally
incorrect action should be forbidden. This implies that no one has the
right to say that an innocent person should be murdered. Regardless of
freedom of speech, I may not stand on a street corner and advocate the
murder of innocent people. The reason for this is that murder is a
morally incorrect action.

In the same way, since bigotry is morally incorrect in the narrow
definition which we have given it, (2), I, nor any one else, has the
right to stand on a street corner and promote bigotry. Such an
enforcement does in no way deny any one their rights as guaranteed by
the first amendment. It merely ensures that no person may be the
target of an attempt to deny him a fundamental moral right, such as
the right to not be murdered, and the right not to be discriminated
against.

I believe, Mr. Berson, that to blindly accept the constitution is a
terrific mistake. We must cinstantly question the constitution and
interpret it in a way befitting the society in which we live. Anything
short of such an effort would render us little more than trained
monkeys, who are able to merely repeat what they have heard without
paying the slightest bit of attention to the intent of the document in
question.

Would you disagree, Mr.Berson?",4
"Hello!

I have a SE/30 and a Generation Systems 8bit PDS card for a 17""
screen.
It worked great until I upgraded from 5 to 20 mb ram.
Now with Sys7.1 and MODE32 or 32enabler it does not boot..

a tech support person said the card does not support these 32bit
fixes.

BUT: when pressing the shift key while booting (when the ext. monitor
goes black after having been grey) the system  SOMETIMES boots properly!!
and then works ok with the 20mb and full graphics.

WHAT's HAPPENING???

Thanks a lot for any advice!!!
please answer by mail.

Ossip Kaehr
ossip@cs.tu-berlin.de
voice: +49.30.6226317
-- 
 __   --------------------------------------------------------------   __
/_/\  Ossip Kaehr	Hermannstrasse 32  D-1000 Berlin 44  Germany  /\_\
\_\/  Tel. +49.30.6223910 or 6218814     EMail ossip@cs.tu-berlin.de  \/_/",1
"
Well, as many a bored bike tourer can tell you, the way to steer
sans hans is to push your body off to the side you want to lean.
Say you want to turn left.  You push your body off to the left.
To do this, you have to push against something, and the only
thing to push against is the ground (through the bike).  Well,
the apple guy (Wozniak? or was that Churchill?) says that the 
ground will push you right back.  So, you pushed yourself off to 
the left by pushing on the ground to the right, and the ground 
pushed back toward the left.  Well, that push is on both wheels.  
The rear wheel doesn't care (unless you have serious bearing 
problems) (except of course on the Spagthorpe Dragonfly, which
had the revolutionary countersteering-contra-shaft-drive rear end), 
but the front wheel has trail.  If the ground pushes the front wheel 
toward the left at the contact patch, the trail will cause the 
wheel to turn to the right.  Hey, there we are.  No-hands counter-
steering.",2
"Does anyone know of a program or utility that will
enable the Mac to read Unix (i.e. NeXT) 3.5 in. disks?",1
"


Often Shuttle lifts satellites with upper stages. Yet we still consider it
payload. Ten Saturn flights over about 4 years delivered to LEO roughly the
same as 50 shuttle flights over 10 years.


They where pretty much the same in terms of cost/pound. A resurected
Saturn would cost only $2,000 per pound (if development costs are ignored)
which is five times cheaper than Shuttle.

    Allen

",3
"What jetting do you recommend for a ZX-11 (with standard mufflers) instead of
the standard one (idle-38, main-155).
Cheers.
",2
": 
: >In the official paper I got from Apple about the new docking station, Apple
: >themselves called it the ""DuoDock Plus"".
: 
:     What paper is that? It's been on the price list here at Dartmouth
: since they released it and it has never been called the ""DuoDock Plus."" 

It was a paper from Apple Sweden that announced some new products (the new
docking station was only one of them), and the paper arrived before it showed
up on the price list. I don't know if it's still called the ""DuoDock Plus""
in the price list, it could be a mistake by someone at Apple Sweden.

/Mats",1
"
You don't need any counterfeit athiest's myth to make religion
appear absurd.  You need only read any of friendly Christian
Bill Conner's posts.
",0
"...
I believe that my former employer Hughes Aircraft Company has a working Ion 
Propulsion system for satellites.",3
"
Using greenhouses to extend the growing season shouldn't be a problem.
I'm supprised they don't do so in Alaska (cheaper to import, perhaps?)


No, the Incas had no problems with this, but the Spanish did.",3
"



Please, read my post carefully, I am saying that lift the arms emargo
and let the MUSLIMS defend themselves. The point is these Europians 
""civilized countries"" neither want to get intervene militarily themselves
and nor they like to see the muslims of the world to help the oppressed.
(Remember what happened almost one year ago when the so called UN discovered
some riffles in an Iranian jet in Bosnia!). The west is not indifferent
in this matter they are siding with Serbs by keeping this embargo on only
muslim side (okay on-paper on both sides). 

-Khalid








",4
"
Ad hominem, sarcastic innuendo?  Absolutely.  Forgotten?  Hardly.
Bored?  Not really.   I try not to confuse ""life on a.a."" with life.

I just can't overcome the urge to tease/taunt folks who bound FAQ-less
onto a.a. with such a chip on their shoulder.  To listen to you,
one might think we belonged to some church!

I appreciate the patience of others who questioned your posting
on a line-by-line content basis, though it's hard to know what
impact that might have had, as compared to, say, ""shovelling"".


I think I only lamented that, whatever the initial satisfactions,
past a certain point circular abuse-heaping was just that.


Sincere questions:  Why are you here?  What are you looking for?",0
"Hello netters,

   I'm new to this board and I thought this might be the best place
for my post.  I have a question regarding satellite technology seen
in the movie Patriot Games.  In the movies, the CIA utilizes its
orbitting sats to pinpoint a specific terrorist camp in N Africa.
The photos taken by the sats are stunning!  I know that sats are
capable of photographing the license plates of vehicles.  My
question is this:  The camp in question was taken out by the
British SAS.  And while the SAS was in action, the CIA team was
watching in the warroom back in Langley, VA.  The action of the SAS
was clear and appeared to be relayed via a sat.  The action was at
night and the photography appeared to be an x-ray type.  That is,
one could see the action within the tents/structures of the camp.
Does such techology exist and what is it's nature?  i.e., UV, IR,
x-ray, etc.

PS  Who wrote the book Patriot Games?",3
"
Um... they've sold the Cray. They realised that spending two years on
numbercrunching the finite stress analysis figures for the complex
injection-molded cases was not the way to go, and was holding up
development work.
Especially when the first FEA model for the portable left out the battery
cover, and it had to be redone. That's why the portable was about three
years late.

Designing metal cases is easier - they're managing with the Calculator DA,
now it can compute 45/100-0.45 correctly.

Any other suggestions?",1
"
My CD300 (external, just arrived) has 2-8 plus Cinderella & Game Demo.


--Pinghua",1
": At the risk of beginning a cascade, I'll start with a possibly cheesy
: good 'ol Uhmericun:

: ""Our shield is freedom""

Or, considering what our government has been doing for the past 50 years,
perhaps this would be more appropriate:

     ""100% Debt""

--",0
"
I read it. I found it wonderful. For some reason (no flames,
please), I was reminded of Hemingway, Carl Orff and Van Gogh (not
all at once, though).
",0
"

It is still incestuous.... :)

",0
" 
 
A world creator god does, the moment it creates the world. And to sayi
that you can't recall *anyone* is even below your usual standard of
a""arguing"".
 
My argument is based on quite usual theistic assumptions, namely god
is perfect, god is all-knowing god sets the rules. The rules don't
work for whatever reason. Because of its omniscience, the god has
known it. In advance.
 
(Deletion)
 
It is not a question of grammar, it is a question of modelling. Has been
discussed in the wonderful time when you were not posting to this group.
When A is contradictorily defined A does not point to an instance in
reality. Unless there is more information in the definition of A that
allows me to find it somehow. However, when the contradictory attribute
is said to be essential, ie has not got that attribute => not the A I
am looking for, I can conclude that A does not exist.
 
 
 
That's quite like: I predict coins falling
   Predicted            Happened
1.   Heads                 Tails
2.   Tails                 Tails
3.   Heads                 Tails
4.   Heads                 Tails
 
I take 2. and dismiss the rest because of the unnecessary complexity
the other evidence causes.
 ",0
"
Me too. Even after I bought the 3-piece Krauser K2 set.  Now and then, 
DK puts them on sale for 50 bux or so to clear out inventory, but they
never seem to to go away.  They are the Volkswagens of tank bags, I guess.

BTW, the late Paul O' Neill showed me a trick with a pair of pliers that
will extend their life considerably.  When the zipper starts to separate
behind the pull (because of age and wear), squash the pull body with the
pliers just a bit to tighten it back up.  I would have tossed my bag three 
years ago, but this fixed it up and kept it secure and reliable.",2
"
Dear Elias, 

I counted at least 4 such answers in public (plus whatever private
email replies you may have received), yet you refuse to accept
anything.  Perhaps you are better off in the private world of the
""Center for Policy Research"" in Iceland where you can define
""sensible"" in whatever way makes you feel most comfortable.
",4
,4
"



Tell that to the people who run the 10-meter Keck telescope, or the 
astronomers and engineers working on the Gemini twin 8-meter telescope
project.  It took 7 years to build Keck I and now they are building
Keck II.  According to the December 1992 Sky & Telescope, ""This
second 10-meter eye will convert the facility into a binocular telescope
with double the light-gathering power and the ability to resolve
the headlights of a car some 25,000 kilometers away.""   Japan's 8.3-meter
Subaru telescope will soon join Keck on Mauna Kea.  All these telescopes
will work in the infrared, yes, but they are _visible light_ telescopes!

And haven't you heard anything about adaptive optics?  A lot of research
was done with ""Star Wars"" funding, and some is now being shared with
astronomers.  This shows great promise.  Soon, probably within a few
years, even the largest telescopes will be able to resolve to their 
theoretical limit _despite_ the distortions of the atmosphere.

To say that ""visible light astronomy is already a dying field"" is 
pure hokum.  To use the ""logic"" that things are already bad, so it doesn't
matter if it gets worse is absurd.  Maybe common sense and logic
are the dying fields.

George Krumins",3
Another factor against bringing the HST back to Earth is risk of contamination.,3
"Elias Davidsson writes...
 
 
ED> The following are quotations from Zionist leaders. They appear in
ED> numerous scholarly works dealing with the Palestine question. I urge those
ED> who have access to original sources, to verify the authenticity of the
ED> source and post here their finding, adhering to the truth whatever it be.

   It is your responsibility for posting quotes in context.  Your
   phony 'research center' is the source of the most unscholarly,
   out-of-context, agenda-ridden, and sophmoric propaganda that I
   have ever seen.  Don't believe me, folks?  Let's take a little
   stroll through a few of Elias Davidsson's contributions to our 
   understanding of the middle east.
 
ED> Quotations from Zionist leaders

ED> 1. ""There was no such thing as Palestinians""
ED> (Golda Meir, Prime Minister of Israel, London Sunday 
ED> Times, 15 June 1969)

    And what do suggest that she meant by this?  Do you think she
    meant that the Palestinians don't exist?  Or does it actually
    mean that the people who self-identify as 'Palestinians,' did
    not appear to be a distinct ethnic group in the eyes of Golda
    Meir?  


ED> 2. ""There is, however, a difficulty from which the Zionist 
ED> dares not avert his eyes, though he rarely likes to face it. 
ED> Palestine proper has already its inhabitants.""
ED> (Israel Zangwill, The Voice of Jerusalem, London 1920, 
ED> p.88)

    When this was written, seventy three years ago, the people of
    the region were not all Jews.  They are not all Jews now.  No
    Jew but the most rabid bigot has ever called for an Israel to
    be ONLY for Jews.  That was true then.  It is true now.  


ED> ""[The Palestinians are] beasts walking on two legs.""
ED> (Menachem Begin, Prime Minister of Israel in a speech to 
ED> the Knesset,
ED> quoted in Amnon Kapeliouk, 'Begin and the ""Beasts"", New 
ED> Statesman, 25 June 1982)

    Since you inserted the words 'The Palestinians are' we cannot
    know what Begin was talking about.  
    
    For someone who wants to embellish his own importance with an 
    absurd pseudo-organizational name like the 'Center for Policy
    Research,' you are not a very honest person. 


ED> ""Both the process of expropriation [of the Palestinians] 
ED> and the removal of the poor must be carried out 
ED> discreetly and circumspectly"".
ED> (Dr. Theodor Herzl, The Complete Diaries, Herzl Press, 
ED> 1960, I., p.88)

    Herzl died eighty nine years ago.  Are you suggesting that he
    has stated what is Israel's policy today?  Have you ever seen
    Israel even entertain a policy to exclude non-Jews, let alone  
    actually try to remove non-Jews from Israel?  If you actually 
    believe that this quote has anything to do with Israel's non-
    Jewish citizenry today, you are an idiot.  But if you realize
    that Israel has no intention of removing non-Jewish Israelis,
    then you are nothing but a common liar.  This one time I will 
    give you the benefit of the doubt, and assume you are stupid. 

 
ED> ""We shall try to spirit the penniless population [the 
ED> Palestinians] across the border by procuring employment 
ED> for it in the transit countries, while denying it any 
ED> employment in our own country""
ED> (Theodor Herzl, The Complete Diaries, Herzl Press, 1960, 
ED> I, p.88)

    Once again you quote a man gone for almost a century.  You do
    so within the context of modern day Israel.  
    
    Thomas Jefferson owned slaves.  How does this fact define the
    United States today?


ED> ""[Jews] must expel Arabs and take their place"" 
ED> (David Ben Gurion, 1937, quoted in Shabtai Teveth, Ben 
ED> Gurion and the Palestine Arabs, Oxford University Press, 
ED> 1985, p. 89)

    Did he say 'Jews,' or did you add this?
 
    This was also a statement from ten years before Israel became
    a state.  It has no bearing on Israel.  
    

ED> ""We must do everything to ensure they [the 
ED> Palestinian refugees] never do return""
ED> (David Ben Gurion, in his diary, 19 July 1948, quoted in 
ED> Michael Bar Zohar, Ben Gurion: The Armed Prophet, 
ED> Prentice-Hall, 1967, p.157)

    YOU added the words 'the Palestinian refugees.'  And by doing
    so, you are misleading people into believing that Ben Gurion,
    who was expressing his hope that people who fled their lands,
    at the encouragement of people such as KING ABDULLAH, and the  
    MUFTI OF JERUSALEM, was gloating over people abandoning their
    homes.  What he was refering to were the Arabs with whom Jews
    were at war.  

ED> ""The country was mostly an empty desert, with only 
ED> a few islands of Arab settlement""
ED> (Shimon Peres, Minister of Defense, quoted in David's 
ED> Sling: The Arming of Israel, Weidenfeld and Nicholson, 
ED> 1970, p.249)

    At the time of the rebirth of Israel this was certainly true,
    especially when compared to what Israel has accomplished in a
    few short decades.


ED> ""All this story about the danger of extermination [of 
ED> Jews] has been blown up....to justify the annexation of 
ED> new Arab territories""
ED> (Mordechai Bentov, Israeli Cabinet Minister, Al 
ED> Hamishmar, 14 April 1972)

    Since Israel has not annexed even one millimeter of territory 
    in more twenty six years, this quote is irrelevant. 


ED> ""Neither Jewish ethics nor Jewish tradition can 
ED> disqualify terrorism as a means of combat""
ED> (Yitzhak Shamir, Hehazit, Summer 1943 [Journal of the 
ED> LEHI, the Stern Gang], translated from the Israeli daily 
ED> Al-Hamishmar, 24 December 1987

    Again, you are quoting a man who was fighting for what he had
    been promised from a time as ancient as biblical, to the time
    of the Balfour Declaration, just a few short years back.  And
    what was thought of and described as terrorism by Jews didn't
    include slaughtering Olympic athletes, brutally murdering the 
    innocent, attacking school buses, and murdering another human 
    being for the sole reason that he or she is an Arab.
 
 
ED> ""The domination of Jewish agriculture by Arab 
ED> workers is a cancer in our body""
ED> (A. Uzan, Israeli Minister of Agriculture, Ha'aretz, 13 
ED> December 1974)

    There were serious concerns about a work force that consisted 
    of people from OUTSIDE Israel.  It is a wise to be concerned.
    A work force consisting of foreigners is not a good situation
    for a country.


ED> ""There can be only one national home in Palestine, 
ED> and that a Jewish one, and no equality in the partnership 
ED> between Jews and Arabs""
ED> (Montague David Eder, President of the Zionist 
ED> Federation of Great Britain, 1931,
ED> in Doreen Ingrams, comp., Palestine Papers 1917-1922, 
ED> Seeds of Conflict, George Braziller, 1973, p. 135)

    This also has no meaning for a country formed seventeen years
    after this statement was made.  Obviously times change.  This
    is NOT what Israel is about today.  I believe the peace talks
    make this quote irrelevant.


ED> ""There is not a single Jewish village in this country 
ED> that has not been built on the site of an Arab village""
ED> (Moshe Dayan, Ha'aretz, 4 April 1969...)

    This is completely false.


ED> ""Some people talk of expelling 700,000 to 800,000 
ED> Arabs in the event of a new war, and instruments have 
ED> been prepared""
ED> (Aharon Yariv, former chief of Israeli military 
ED> intelligence, 1980, Inquiry, 8 December 1980)

    Expelled from where?  Israel?  The occupied territories?  New
    Jersey?  Is there any way we can read this and get an idea as
    to what on earth he was talking about.  Obviously not.

 
ED> ""We should there [in Palestine] form a portion of the 
ED> rampart of Europe against Asia, an outpost of civilization 
ED> as opposed to barbarism.""
ED> (Dr. Theodor Herzl, The Jewish State, London, 1896, p. 
ED> 29)

    Interesting notion.  Considering that this was written nearly
    a century ago, it is quite visionary.


ED> ""I deeply believe in launching preventive war 
ED> against the Arab States without further hesitation. By 
ED> doing so we will achieve two targets: firstly, the 
ED> annihilation of Arab power; and secondly, the expansion 
ED> of our territory""
ED> (Menachem Begin, in a speech to the Knesset, 12 October 
ED> 1955)

    This was said nearly forty years ago.  Begin is dead.  And it
    should be obvious to anybody that if Israel was expansionist,
    it would have ANNEXED the occupied territories right after it
    captured them.  Israel would not be negotiating to get rid of
    them.


ED> ""During the last 100 years our people have been in a 
ED> process of building up the country and the nation, of 
ED> expansion, of getting additional Jews and additional 
ED> settlements in order to expand the borders here. Let no 
ED> Jew say that the process has ended. Let no Jew say that 
ED> we are near the end of the road.""
ED> (Moshe Dayan, Ma'ariv, 7 July 1968)

    He's dead, too.  And since Israel has not annexed ANY land at 
    all since 1967, you are once again wasting bandwidth with all
    of these misleading quotes.  They are so out of sync with the
    reality of Israel, that you do nothing but make yourself look
    like a fanatic desperate to sway people, by misleading them.


ED> ""Let us not today fling accusations at the [Palestinian 
ED> Arab] murderers. Who are we that we should argue 
ED> against their hatred ? For eight years now they sit in 
ED> their refugee camps in Gaza, and before their very eyes, 
ED> we turn into our homestead the land and the villages in 
ED> which they and their forefathers have lived. We are a 
ED> generation of settlers, and without the steel helmet and 
ED> the cannon we cannot plant a tree and build a home. Let 
ED> us not shrink back when we see the hatred fermenting 
ED> and filling the lives of hundreds of thousands of Arabs, 
ED> who sit all around us. Let us not avert our gaze, so that 
ED> our hand shall not slip. This is the fate of our generation, 
ED> the choice of our life - to be prepared and armed, strong 
ED> and tough - or otherwise, the sword will slip from our 
ED> first, and our life will be snuffed out.""
ED> (Moshe Dayan, eulogy of Roy Rutenberg at Kibbutz Nahal 
ED> Oz, 1956, quoted in Uri Avneri, Israel without Zionists, 
Collier Books, Macmillan, New York, 1971, p.154)

    Interesting quote.  It's true that we should never lose sight
    of the plight of these people.  We should also recognize that
    this quote preceded the disgusting wave of Arab terrorism and
    violence directed at innocent people, that began in 1972 with 
    the massacre of the Israeli athletes in Munich, and continues 
    to this day.",4
"
Hmmmmn...don't you ride with your sweetheart?
 
-- 
-----------------------------------------------------------------------
""Tuba"" (Irwin)      ""I honk therefore I am""     CompuTrac-Richardson,Tx
irwin@cmptrc.lonestar.org    DoD #0826          (R75/6)",2
"


Otherwise you get NO2 out the back.",2
