text,category
"
Not necessarily. If the body had been denatured (cooked) or dehydrated due
to the heat, a projectile needs only a minimal kinetic force to penetrate.
In fire aftermaths, bodies tend to fall apart or loose large chunks of
meat with little effort. Medical Examiners tend not to like cleaning up
such scenes. 

As such, if the body had been suitably cooked, a bullet comming from a
magazine explosion would more than likely have enough force to enter and
thus it would be difficult to determine whether a bullet entered at the
time of death, or much later, unless you were trained to look for the
evidence. Texas Rangers are not pathologists. 

",3
"NL:

Chicago Wait Til Next Years
New York Bunch of Egos With no Chemistrys
Philedelphia Overacheivers Until Mitch Williams Blows Games
Pittsburg CHeapskates
Montreal Canadiens (love that name!)
St. Louis Cardinals (how boring!)
Miami Marlins (try telling Tampa-StPete that the Marlins are Florida's)

San Diego She's Going DOwn Men and Children Firsters
Los Angeles Disables Listers
San Francisco Get Past Number Five and You Are Fines
Cincinatti Underacheivers
Atlanta Bills
Colorado Pitching is 10% of Baseballers
Houston Astonomicals

AL:

New York Steinbrenners
Boston Wow, We're In Firsters
Cleveland Good Hit No PItchers
Detroit Lions (Hey, they score 20 every game also!)
Toronto God Does Jack Morris Stinkers
Baltimore We Have a Great Park and a Bankrupt Owners
Milwaukee Don't Drink the Water Drink the Beer Insteaders

Kansas City Oh God Not Againers
Oakland Gezz Did the Eck Blow a Saves
Texas Bashers
California We Won't Win But We'll Sure As Hell Tryers
Seattle Griffeys
Chicago We''l Find A Way to Lose Agains
Minnesota Marshmallow Domers

 
--
msilverm@nyx.cs.du.edu				GO CUBS!!!",1
"    [re a true 24 bit XV]


Don't mind if I do.
As someone who would _love_ to see XV go to 24 bit, this
would be plenty for me.

    a) XV can Load a 24 bit image, and display it in all it's
24 bit glory on 24 bit X displays.
    b) All other operations (Crop, Dither, Smooth, etc.) are not
supported on 24 bit images.

how hard would this be?

",0
"Hello,
i'm interested in those devices too.
Could also send me your suggestions.
Thank in advance.
Regards.
-- ",0
"
   I was wondering if anyone knows of a graphics package for the PC that
   will do compositing of a series of pictures?

   What I mean by ""compositing"" is, say I have a live video clip
   (digitized) panning around a living room, and a computer-generated
   bird flying around the screen.  I want to combine these two series of
   pictures so that everywhere where the bird frames are black, I want
   the living room picture to show through.  Yes, I realize I can do this
   with a genlock, and I do own a genlock, but I want to be able to do
   manual compositing also.  It's ok if I have to composite one frame at
   a time; I assumed I'd have to do that anyway.  But being able to
   composite a series of frames would be even better.

   I've looked around and I haven't found a PC package that will perform
   this.  Help, please!

If you can get the live animation and the computer-generated animation
into AutoDesk Animator .FLI or .FLC format, AutoDesk Animator will do
this for you.  It can take one animation, make a certain color
""clear"", and overlay it over another animation.  I do not have a way
right now to convert .AVI or .MPG files to animator files.  Animator
will also import a series of .GIF files to create an animation, so if
your video capture stuff can create this is might work.",0
"
The number bounces between 2% and 18%, depending on the study quoted and
the type of gun being studied.

Some cites:

---------------------------------------

A recent BATF study (titled ""Protecting America, Yes"") surveyed 471 career 
criminals and found that only 7% of guns used in violent crimes were
purchased from retail dealers.

---------------------------------------

National Institute of Justice
Research in Brief

November 1986

                        The Armed Criminal in America
                              by James D. Wright

(1) Legitimate firearms retailers play only a minor role as direct
    sources of handguns for adult felony offenders.

Only about one-sixth of the gun-owning felons obtained their most
recent handguns through a customary retail transaction involving a
licensed firearms dealer.  The remainder -- five out of six --
obtained them via informal, off-the-record transactions involving
friends and associates, family members, and various black market
outlets.  The means of acquisition from these informal sources
included cash purchase, swaps and trades, borrowing and renting, and
often theft.  The criminal handgun market is overwhelmingly dominated
by informal transactions and theft as mechanisms of supply.

---------------------------------------

INDEPENDENCE ISSUE PAPER No. 4- 91
Independence Institute
14142 Denver West Parkway #101
Golden, CO 80401 
(303) 279-6536

              WHY GUN WAITING PERIODS THREATEN PUBLIC SAFETY
                             By David B. Kopel

     The basic problem with waiting periods is shown by a Bureau of Alcohol,
Tobacco and Firearms study of gun dealer sales in Des Moines and Greenville.
The study found that about one to two percent of sales were to dangerous
criminals.[51]  In short, waiting periods have no statistically noticeable
impact on any type of crime because only a tiny fraction of crime guns
are purchased at retail by ineligible buyers.

51. Bureau of Alcohol, Tobacco and Firearms, Assistant Director of Criminal
Enforcement, Memorandum to Director, July 10, 1975 (Greenville survey; of
20,047 names submitted to FBI for record checks, 68 had felony convictions;
of those, 41 had not been represented by counsel at their conviction or who
committed crimes in the distant past; twenty-seven buyers were prosecuted)
(of the 1.3% of buyers selected for prosecution, .9% had non-violent felony
convictions, and .4% had violent convictions). Bureau of Alcohol, Tobacco and
Firearms, Assistant Director for Criminal Enforcement, memorandum to
Director, May 8, 1975 (of 374 records checked, 39 were purchasers with felony
records who were not appropriate for prosecution because of age or
non-violent nature of felony; six purchasers were prosecuted).

---------------------------------------

INDEPENDENCE ISSUE PAPER No. 12-91

                          THE ASSAULT WEAPON PANIC:
                      POLITICAL CORRECTNESS"" TAKES AIM
                            AT THE CONSTITUTION

                      By Eric Morgan and David Kopel

     Testimony before Congress revealed that most ""assault weapons"" in the
hands of criminals were obtained through illegal channels.{97}  The testimony
is consistent with the National Institute of Justice's research findings
based on studies of felons in state prisons. The NU study, authored by
sociologists James D. Wright and Peter Rossi found that only sixteen percent
of criminals had obtained their most recent handgun from a gun store. (The
figures included purchases by legal surrogates, rather than directly by the
criminal.) Wright and Rossi, who had begun their research as firm proponents
of gun control, concluded that no set of controls on retail purchases, and
probably not even full scale gun prohibition, would reduce criminal use of
guns. Wright and Rossi suggested that lawmakers concerned about gun crime
directly target the black market in criminal guns, and
leave the legitimate retail market alone.{98}   Not surprisingly, Wright
believes that the consequences of current ""assault weapon"" legislation on
street violence are likely to be ineffective.{99}   He warns that gun
controls aimed at ordinary citizens are less likely to reduce the pool of
criminal guns than to provide organized crime with lucrative new
business.{100}

6.   _See, _e.g., The Anti-drug, Assault Weapons Limitation Act of 1989. S.
Rep. No. 160, 101st. Cong., 1st. Sess. 6-8 (1989) [hereinafter SENATE REPORT]
(introduced by Senator DeConcini to reduce semiautomatic firearms abuse by
drug traffickers and violent criminals); Roberti-Roos Assault Weapons Control
Act of 1989, CAL. PENAL CODE $$ 12275-12290 (West 1990) [hereinafter Roberti-
Roos]; MD. ANN. CODE art. 27 $$ 442,481E (1989) (placing greater restrictions
on 17 varieties of ""assault weapons,"" and providing punishments for failure
to comply or attempts to evade).

97.  SENATE REPORT, _supra note 6, at 17.

98.  James Wright & Peter Rossi, ARMED AND CONSIDERED DANGEROUS: A SURVEY OF
FELONS AND THEIR FIREARMS (New York: Aldine de Gruyter, 1986).

99.  _Lock _and _Load _for _the _Gunfight _of _'89, U.S. NEWS & WORLD REP.,
March 27, 1989, at 9 [hereinafter _Gunfight]. Wright also said, ""If criminals
can get all the drugs they want, they can get guns, too."" _Id.

100. James Wright, ""Second Thoughts About Gun Control,"" 91 _The _Public
_Interest (Spring 1988), at 30-3 1.
",3
,3
"I have also been looking for this, but I have come up with nothing.
I have looked in ftp.ncsa.uiuc.edu which is supposed to have a lot
of image-specs.

Email is preferred. If there is enough interest, I will post a 
summary.

------------------------------------------------------------------------         ",0
"I know this has been asked a million time, but..

What was the ftp site carrying 30-40 .ZIPs of full POV ""source"" files,
including JACK.ZIP and KETTLE.ZIP? I've once been there but
unfortunately lost the address.
I'm in a little hurry with it, so please e-mail me at
jtheinon@kruuna.helsinki.fi. Thanks..",0
"hi all, Ive applied for the class of 93 at quite a number of schools (20)
and have gotten 13 rejects, 4 interviews and 3 no responses.
Any one know when the heck these people send out their acceptance letters?
According to the med school admissions book theyre supposed to send out
the number of their class in acceptances by mid March. Whats going on... I
am losing my sanity checking my mailbox every day.

Also does anyone have some useful alternatives in case i dont get in, i
kind of looked into Chiropractic and Podiatry but they really dont
interest me. Thanks.
",2
"
Speaking of SIGGRAPH, I just went through the ordeal of my annual registration
for SIGGRAPH and re-upping of membership in the ACM last night, and was I ever
grossed out!  The new prices for membership are almost highway robbery!

For example:

	SIGGRAPH basic fee went from $26 last year to $59 this year for the same
	thing, a 127% increase.  Those facile enough to arrange a trip to the
	annual conference could reduce this to $27 by selecting SIGGRAPH Lite,
	which means SIGGRAPH is charging an additional $32 (or so) for the
	proceedings and the art show catalog, essentially.

	TOPLAS went up 40% in cost, way outstripping the current inflation rate.

	Basic SIGCHI fees remainded the same, but whereas before SIGCHI
	membership included UIST and Human Factors conferences proceedings,
	these are now an extra cost option.  Bundling that back into the basic
	rate, equivalent services have gone up 100% in cost.

	SIGOIS membership cost has up 33%, but they've also split out the
	Computer Supported Cooperative Work conference proceedings that used to
	be included with membership.  Adding that cost back in means this SIG
	also has doubled its membership fee.

What really galls me is that the ACM sent out brochures a couple months ago
touting their new approach to providing member services, and tried to make it
sound like they were offering NEW services.  But with the exception of a couple,
like SIGGRAPH, all the ""plus"" services appear to be just splitting the costs
into smaller piles so that they don't look so big.  But their recommended
changes to my membership would have me paying 90% more than last year for a 31%
increase in services (measured by cost, not by value), and, curiously, a 31%
inflation rate on the publications I got last year.

Is anyone out there as galled by this extortion as I am?
________________________________________________________________________________
Robert Reed			Home Animation Ltd.		503-656-8414
robert@slipknot.rain.com	5686 First Court, West Linn, OR 97068

SHOOTING YOURSELF IN THE FOOT IN VARIOUS LANGUAGES AND SYSTEMS",0
"
The bacteria in your gut are important.  But colonic flushes are not the 
way to improve gut function.  Each person has almost a unique mix of 
bacteria in his/her gut.  Diet affects this mix as does the use of 
antibiotics.  A diet change is a much better way to alter the players in 
your gut than is colonic flushes.  Cross contamination has been a real 
problem in some of the outfits that do this ""treatment"" since the equipment 
is not always cleaned as well as it should be between patient ""treatments"".
Dental drills have me a little concerned about HIV infection and I've 
picked a dentist that uses both chemical and autoclave sterilization of his 
instruments(more clostly but much safer).  Full sterile technique is 
also used just like that practiced in an OR(mask, gloves and gowns worn and 
disposed of between patients).  Each visit costs me 15 dollars more than 
the standard and customary fee so I have to pay it out of pocket.  His much 
higher fees do not drive away patients.

I can not think of any good reason why someone should subject themselves to 
this colonic flush procedure.  For very little, if any benefit, you 
subject yourself to hepatitis, cholera, parasitic disease and even HIV.
Just ask yourself why someone might resort to this kind of treatment?
Could they be having GI distress?  Could this distress be due to a 
pathogenic organism?  Could I get this organism if the equipment is not 
cleaned properly between patients?  Do I really want to take this risk?
Food for thought.",2
"
Candida can do that to you. :-)  Gordon, I think that the best clinical 
trial for candida blooms would involve giving women with chronic vaginal 
candida blooms L. Acidophilus orally and see it it can decrease the 
frequency and extent of candida blooms in the vagina since most of the 
candida seems to be migrating in from the anal region and L. acidophilus 
should be able keep the candida in check if it can make it through the 
intestinal tract and colonize in the anus where it will have access to 
oxygen(just like it does in the vagina).  As much stuff as there is in the 
lay press about L. acidophilus and vaginal yeast infections, I'm really 
amazed that someone has not done a clinical trial yet to check it out.


The calcium and kidney stone story is not a good reason to throw all 
conventional wisdom out the window.  Where would medicine be if 
conventional wisdom had not been used to develop many of the standard 
medical practices that could not be confirmed through clinical trials?
The clinical trial is a very new arrival on the medical scene(and a very 
important one).  The lack of proof that reinnoculation with good bacteria 
after antibiotic use is important to the health of a patient is no reason 
to dismiss it out-of-hand, especially if reinnoculation can be done cleaply 
and safely(like it is in animal husbandry).",2
"
... in response to which ...

[ ... ]

... and ...

[ ... ]

... and ...

[ ... ]


Hey, guys.  You're absolutely correct, and well on the way to winning
this battle ... and losing the war.  Yes, there are serious philosophical
flaws in HR 1276.  Technical ones, too -- how'd you like to sue the Feds,
lose, and have to pay _their_ ""reasonable Attorney's fee"" ... ?    :-)

Still, I have one basic question:  compared to what we've _got_ is HR 1276
(a) better, or (b) worse?  This one shouldn't even take you three guesses.

If there's a good enough show of support for HR 1276, maybe for a change
_we_ could be the ones saying ""it's a reasonable first step"" ...",3
"
And not the only quality Mariner pitcher.  I logged on expecting to see
at least ONE congratulatory note for Chris Bosio's NO HITTER, but nary
a peep.  

So I'll take this opportunity to note that the red feet are now 11-5 and
slinking out of town without having scored a run in the last two games
or even a hit in last night's gem.  

Not that we M's fans can compare our suffering to those of the followers
of New England's long-running tragedy, but only one winning season in
history is something of a burden to bear.  So we'll take our joys when
we can get 'em.  

The Mariners now have two no-hit pitchers on the staff and not
coincidentally those pitchers beat the Red Sox in back to back games.

jsh",1
"I recently heard of some testing of a new migraine drug called sumatripton
(I have no idea of the actual spelling) that supposedly utilizes a chemical
that trips neuro-transmitters.  My mother has regular migraines and nothing
seems to help - does anyone know anything about this new drug?  Is it in
a testing phaze or anywhere near approval?  Does it seem to be working?

Any information would help.

Please feel free to e-mail rather than take up bandwidth if you prefer.

Thanks in advance,

-Rox
-- 
roxannen@cruzio.santa-cruz.ca.us
",2
"
No.  I do not find this conceivable.  I also cannot conceive of the
possibility that there is any hypothetical team which Morris would
help more than Clemens.


Given your premise, yes.  But you are alone in your ability to
conceive of that premise.",1
"

I definitely do.  That's why I don't like going to see games played
on artificial turf :-)


Well, your idea of ""interesting"" differs from mine.  I think
batting practice is interesting, for example, and make a special
effort to get to the game very early in order to see it.  I think the
delaying tactics of batters, pitchers, catchers, and managers are
interesting because they're attempts to gain advantage through control
of the flow and timing of the game.  Of course, the umpires can, and
should, intervene when these tactics get out of hand.  As Ryan Robbins
has pointed out, there are rules that cover this.

One of the more fascinating things about baseball, I think, is its
open-endedness with regard to time.  You never know if the game is going
to zip right by and be over in less than two hours, or if it's going to
go on until four in the morning.  Likewise, some games are action-packed,
and some games are slow and lazy.  That's fine by me.  Those folks who
want constant action should watch the games on TV so they can channel-
surf and cater to their short attention spans.",1
"
I don't know the first thing about yeast infections but I am a scientist.
No scientist would take your statement --- ""no convincing empirical evidence
to support the existence of systemic yeast syndrome"" --- to tell you
anything except an absence of data on the question.  Noring has pointed out
the catch-22 that if the ""crazy"" theory were true, you probably couldn't
find any direct evidence of it --- that you couldn't observe those yeastie
beasties with present methods even if they were there.  Noring and the
fellow from Oklahoma (sorry, forgot your name) have also suggested one set
of anecdotal evidence in favor based on their personal experiences ---
namely, that when people with certain conditions are given anti-fungals,
many of them appear to get better.  

So, if you have any evidence *against* the hypothesis --- for example,
controlled double-blind studies showing that the anti-fungals don't do any
better than sugar water --- then let's hear it.  If you don't, then what we
have is anecdotal and uncontrolled evidence on one side, and abject
disbelief on the other.  In which case, please, there is no point in yelling
back and forth at each other any longer since neither side has any
convincing evidence either positive or negative.  

And I understand that your abject disbelief is based on the existence of
people who may get famous or make money applying the diagnosis to everything
in sight, making wild claims with no evidence, and always refusing to do
controlled studies.  But that has absolutely no bearing on the apparently
sincere experiences of the people on the net observing anti-fungals working
on themselves and other people in certain specific cases.  There are also
quacks who sell oral superoxide dismutase, in spite of the fact that it's
completely broken down in the guts, but this doesn't change the genuine
scientific knowledge about the role of superoxide dismutase in fighting
oxidative damage.  Same thing.  Just cause there are candida quacks, that
doesn't establish evidence against the candida hypothesis.  If there's some
other reason (besides the quacks), if only anecdotal, to think it could be
true, then that is what has to be considered, that is what the net people
have been talking about.

But again, there is no point in arguing about it.  There is anecdotal
evidence, and there is no convincing evidence, and there are also some
candida quacks out there, I hope everyone can agree on all of that.  Thus,
it appears to me the main question now is whether the proponents can
marshall enough anecdotal evidence in a convincing and documented enough
manner to make a good case for carrying out a good controlled double-blind
study of antifungals (or else, forget convincing anybody else to carry out
the test, just carry it out themselves!) --- and also, whether they can
adequately define the patient population or symptoms on which such a study
should be carried out to provide a fair test of the hypothesis.

Ken",2
"Hi:

I went to the orthopedist on Tuesday. He diagnosed me as having
""intersection syndrome"". He prescribed Feldene for me. I want
to know more about the disease and the drug.

Thanks
",2
"
I don't like the term ""quack"" being applied to a licensed physician David.
Questionable conduct is more appropriately called unethical(in my opinion).
I'll give you some examples.

	1. Prescribing controlled substances to patients with no 
	   demonstrated need(other than a drug addition) for the medication.

	2. Prescribing thyroid preps for patients with normal thyroid 
	   function for the purpose of quick weight loss.

	3. Using laetril to treat cancer patients when such treatment has 
	   been shown to be ineffective and dangerous(cyanide release) by 
	   the NCI.

These are errors of commission that competently trained physicians should 
not committ but sometimes do.  There are also errors of omission(some of 
which result in malpractice suits).  I don't think that using anti-fungal 
agents to try to relieve discomfort in a patient who you suspect may be 
having a problem with candida(or another fungal growth) is an error of 
commission or omission.  Healers have had a long history of trying to 
relieve human suffering.  Some have stuck to standard, approved procedures,
others have been willing to try any reasonable treatment if there is a 
chance that it will help the patient.  The key has to be tied to the 
healer's oath, ""I will do no harm"".  But you know David that very few 
treatments involve no risk to the patient.  The job of the physician is a 
very difficult one when risk versus benefit has to be weighed.  Each 
physician deals with this risk/benefit paradox a little differently.  Some 
are very conservative while others are more agressive.  An agressive 
approach may be more costly to the patient and carry more risk but as long 
as the motive is improving the patient's health and not an attempt to rake 
in lots of money(through some of the schemes that have been uncovered in 
the medicare fraud cases), I don't see the need to label these healers as 
quacks or even unethical.

What do I reserve the term quack for?  Pseudo-medical professionals.  
These people lurk on the fringes of the health care system waiting for the 
frustrated patient to fall into their lair.  Some of these individuals are 
really doing a pretty good job of providing ""alternative"" medicine.  But 
many lack any formal training and are in the ""business"" simply to make a 
few fast bucks.   While a patient can be reasonably assured of getting 
competent care when a liscenced physician is consulted, this alternative 
care area is really a buyer's beware arena.  If you are lucky, you may find 
someone who can help you.  If you are unlucky, you can loose a lot of 
money and develop severe disease because of the inability of these pseudo-
medical professional to diagnose disease(which is the fortay of the 
liscened physicians).

I hope that this clears things up David.",2
"

Ah, but the illusion in football is that there is always lots of action and
a sense of urgency because of the game clock (not all the time, but it happens
when there's less than 5 minutes to go quite often).  This sense creates
drama, even when there may not necessarily be any and that holds a viewer's
attention.  In baseball, only 3 players are involved in the action for about
(here comes a wild guess) 70% of the time?  And they're just playing a
sophisticated game of catch/hold-the-ball/step-out-of-the-box/adjust-chains/
touch-self-in-interesting-locations.  There's a lot of ""dead time"" with the
players warming up between innings or the manager visiting the pitcher at the
mound or the manager removing the pitcher and bringing in a relief pitcher
who then takes (8? 10?) pitches or Helen Dell playing the organ (Dodger fans
will appreciate that one).  To the non baseball junkie this is boring.
At any rate, I'm not putting baseball down for this - I've been an avid
fan since I can remember - it's just that watching a baseball game on
T.V. at home can be tedious for the non baseball junkie.  That's what Major
League Baseball and the networks are trying to address when they talk of
shortening the game.  It's because of T.V. not because ""football has more
action than baseball"".
",1
"Did your ENT also tell you that this procedure may remove warts from the soles
of your feet and improve your sex life?

",2
"


	Religious fanaticism?",3
"The subject says it all. I bought Adobe Type Manager and find it completely
useless. I ftped some atm fonts and couldn't install them. What's the use?
Are you supposed to be able to convert ATM fonts to Truetype?

If there's anyone out there who has this program and actually finds it 
useful, enlighten me!",0
"

   Some women might say, ""Death"".  How about ""life, with no hope of parole""?",3
"
I tend to agree, but I would like a better explanation of why the FBI stopped  
the firetrucks at the gate.  I saw this in realtime.  It concerns me that the  
FBI ""appeared"" to not be too interested in stopping the fire after it started,  
and actually started flying hueys around the compound, which had to add in some  
small part to the winds driving the fire.

Jim
--
jmd@handheld.com",3
"Post all you want, foreigner.  We'd rather hear from you
than those ""I'll support the fascist who writes the
hecks for my salary"" .edu site types!

Should you expect the Police to come in and
assault you, lay siege and refuse to help when they
(yes, let's give them the benefit of the doubt)
accidently burn down your ranch home?  Even though
ey have emergency vehicles nearby?

Is this a proper response when you just keep to yourself?
Even if you DON'T hurt anyone?  And you
're cooperative with cops when you occasionally come out?",3
"

Cool.  And thank you for an intelligent response devoid of the silly
name-calling of others.  :)


 One of the basic things you need to 

OK.


Actually, I think the large-scale sample size is part of the problem.
It seems to me that if we were to plot all the players in baseball
in regard to BA vs. Clutch BA deviation we would get some kind of
bell curve.  (The X-axis being the +/- deviation in clutch hitting
vs. non-clutch;  the Y-axis being the number of players.)  Certainly
there would be *some* players on the extreme ends of the bell.  My
*supposition* is that if we were to find the SAME players consistently
(year after year) at one end of the bell or the other, then we might
be able to make some reasonable conclusions about *those* players
(as opposed to all baseball players).

  As a counterexample to 

You won't hear those kind of accusations from me.  It is interesting
that you selected Maldonado, because he is someone whom I have also 
looked at.  He has been a very inconsistent hitter (in terms of BA),
hitting in 1989 - 92  .217, .273, .250, .272    Admittedly, he has
been traded between leagues as well as clubs.  His clutch hitting 
record is equally inconsistent.  So, for my purposes in 1993 I would
not draw any conclusions about his ability to hit in the clutch based
on his prior performance.  I don't know how I would have felt in 1988,
but you may indeed be right.  

When I looked at Sabo I found a more consistent record of hitting, and
a more consistent pattern of his clutch hitting being proportionately
below his non-clutch BA.  Ditto for Joe Carter.

This probably brings us to the heart of the disagreement I am having
with others on this topic.  Must any conclusion based on statistical
history be able to be applied broadly throughout a data base before
it has any validity?  Is it impossible (or irrational) to apply
statistical analysis to selected components of the data base?



I completely accept that reasoning.  Again, what if we were to find
the same individuals at each end of the spectrum on a consistent
basis? 

amen.



--	The Beastmaster

",1
"Recently I've come upon a body of literature which promotes colon
cleansing as a vital aid to preventive medicine through nutrition.  In
particular, Dr. Bernard Jenssen in his book ""Colon Cleansing for
Health and Longevity"" -- the title actually escapes me, but it is very
similar to that -- claims that regular self-administered colonics,
along with certain orally ingested ""debris-loosening agents"", boosts
the immune system to a significant degree.

He also plugs a unique appliance called the ""Colema Board"", which
facilitates the self-administration of colonics.  It sells for over
$100 from a California-based company.  He also plugs Vitra-Tox
products as his chemical agents of choice: these include volcanic ash,
supposedly for its electrical charge, and psyllium powder, for its
bulkiness.

If anyone knows anything about colon cleansing theory, its
particulars, or the Colema Board and related products, I'd be very
interested to hear about research and personal experience.

This article is crossposted to alt.magick as the issue touches upon
fasting and cleansing through a ""ritual"" system of purification.

-- Eli
",2
"Can anyone out there tell me why they call left-handed pitchers
""Southpaw""?

Also the story on how the term originated.

Thanks!! 


Go Cubs! ",1
"O.K.  It would be a shame for Cards fans on the net
to go through the 1993 championship season without a 
mailing list to talk on so I would be willing to look
at starting one.

Except there's one little problem...

I don't know the first thing about how to do it or 
what it requires in terms of resources or time.  So
if some kind soul could e-mail me the particulars of
getting starting and managing a mail list, I'd see
if it would be feasible for me to start a Cards mailing 
list.

Thanks in advance,

Dick Detweiler",1
"


It is not a matter of dis-belief but a matter of which of their constantly
(and radically) changing stories we are to believe.

Steve B.",3
