instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
10524,2012-03-19,1,1,3,14,0,1,1,2,0.64,0.6212,0.57,0.194,260
12003,2012-05-20,2,1,5,7,0,0,0,1,0.52,0.5,0.68,0.194,90
15161,2012-09-28,4,1,9,21,0,5,1,3,0.6,0.6212,0.53,0.194,237
2066,2011-03-31,2,0,3,22,0,4,1,3,0.28,0.2727,0.93,0.2537,51
10392,2012-03-14,1,1,3,2,0,3,1,1,0.5,0.4848,0.68,0.194,2
1443,2011-03-05,1,0,3,9,0,6,0,2,0.32,0.303,0.93,0.2239,63
11041,2012-04-10,2,1,4,4,0,2,1,1,0.34,0.3333,0.71,0.1343,2
3841,2011-06-13,2,0,6,22,0,1,1,1,0.62,0.6212,0.46,0.2239,134
6291,2011-09-24,4,0,9,16,0,6,0,2,0.64,0.5909,0.78,0.0896,449
3262,2011-05-20,2,0,5,19,0,5,1,1,0.58,0.5455,0.64,0.0896,302
10005,2012-02-26,1,1,2,21,0,0,0,1,0.3,0.303,0.45,0.1343,83
7495,2011-11-13,4,0,11,21,0,0,0,1,0.48,0.4697,0.36,0.2537,95
10922,2012-04-05,2,1,4,5,0,4,1,1,0.38,0.3939,0.43,0.2836,29
3851,2011-06-14,2,0,6,8,0,2,1,1,0.58,0.5455,0.49,0.3881,486
2658,2011-04-25,2,0,4,15,0,1,1,1,0.74,0.6667,0.51,0.2239,175
11005,2012-04-08,2,1,4,16,0,0,0,1,0.64,0.6061,0.19,0.3284,476
16543,2012-11-27,4,1,11,0,0,2,1,2,0.32,0.3333,0.66,0.0896,26
8888,2012-01-11,1,1,1,4,0,3,1,1,0.2,0.2121,0.8,0.1343,2
12738,2012-06-19,2,1,6,22,0,2,1,1,0.72,0.697,0.79,0.0896,291
4456,2011-07-09,3,0,7,13,0,6,0,1,0.82,0.7424,0.41,0.2239,416
1297,2011-02-27,1,0,2,4,0,0,0,1,0.24,0.2424,0.87,0.1343,2
11832,2012-05-13,2,1,5,4,0,0,0,2,0.54,0.5152,0.68,0.194,9
3966,2011-06-19,2,0,6,3,0,0,0,2,0.66,0.6061,0.78,0.1343,30
9254,2012-01-26,1,1,1,11,0,4,1,2,0.3,0.3182,0.87,0.1045,111
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,84
14582,2012-09-04,3,1,9,18,0,2,1,1,0.76,0.7424,0.75,0.2239,839
17024,2012-12-17,4,1,12,2,0,1,1,2,0.38,0.3939,0.94,0,5
11793,2012-05-11,2,1,5,13,0,5,1,1,0.6,0.6061,0.26,0.3881,363
17256,2012-12-26,1,1,12,20,0,3,1,3,0.32,0.303,0.93,0.2537,32
16792,2012-12-07,4,1,12,10,0,5,1,2,0.32,0.3182,0.76,0.1642,166
8661,2012-01-01,1,1,1,15,0,0,0,1,0.46,0.4545,0.51,0.2985,265
16195,2012-11-12,4,1,11,12,1,1,0,1,0.56,0.5303,0.64,0.2239,419
3297,2011-05-22,2,0,5,6,0,0,0,1,0.52,0.5,0.94,0.1045,18
14950,2012-09-20,3,1,9,2,0,4,1,1,0.46,0.4545,0.72,0.0896,11
10761,2012-03-29,2,1,3,11,0,4,1,1,0.5,0.4848,0.45,0.4179,220
13829,2012-08-04,3,1,8,9,0,6,0,1,0.78,0.7576,0.65,0.2239,278
9768,2012-02-16,1,1,2,22,0,4,1,2,0.32,0.3485,0.81,0,111
13940,2012-08-09,3,1,8,0,0,4,1,1,0.72,0.697,0.74,0.194,67
10042,2012-02-28,1,1,2,10,0,2,1,1,0.3,0.2727,0.42,0.2985,132
5035,2011-08-02,3,0,8,16,0,2,1,1,0.9,0.7727,0.25,0.2836,274
5487,2011-08-21,3,0,8,12,0,0,0,1,0.82,0.803,0.59,0.2836,374
2606,2011-04-23,2,0,4,11,0,6,0,2,0.46,0.4545,0.88,0.2239,232
1674,2011-03-15,1,0,3,8,0,2,1,1,0.26,0.2879,0.7,0.0896,282
9295,2012-01-28,1,1,1,4,0,6,0,1,0.26,0.2576,0.6,0.1642,8
1164,2011-02-21,1,0,2,6,1,1,0,2,0.42,0.4242,0.26,0.2985,8
11338,2012-04-22,2,1,4,14,0,0,0,3,0.38,0.3939,0.87,0.3284,53
1398,2011-03-03,1,0,3,12,0,4,1,1,0.22,0.2273,0.25,0.1343,72
4114,2011-06-25,3,0,6,7,0,6,0,1,0.64,0.6212,0.57,0.2836,42
15342,2012-10-06,4,1,10,10,0,6,0,1,0.62,0.6061,0.69,0.2836,539
4310,2011-07-03,3,0,7,11,0,0,0,1,0.76,0.7121,0.62,0.1045,390
9691,2012-02-13,1,1,2,17,0,1,1,1,0.36,0.3485,0.23,0.194,407
1832,2011-03-22,2,0,3,1,0,2,1,1,0.42,0.4242,1,0.1343,19
10566,2012-03-21,2,1,3,8,0,3,1,3,0.48,0.4697,0.94,0.1045,535
1788,2011-03-20,1,0,3,4,0,0,0,1,0.26,0.2576,0.56,0.2239,3
1173,2011-02-21,1,0,2,15,1,1,0,2,0.3,0.2727,0.7,0.4478,87
12725,2012-06-19,2,1,6,9,0,2,1,1,0.64,0.6061,0.73,0.0896,328
12600,2012-06-14,2,1,6,4,0,4,1,2,0.6,0.6212,0.56,0.2537,6
2906,2011-05-05,2,0,5,23,0,4,1,1,0.46,0.4545,0.41,0.194,115
6665,2011-10-10,4,0,10,6,1,1,0,1,0.44,0.4394,0.94,0,44
14275,2012-08-22,3,1,8,23,0,3,1,1,0.64,0.5758,0.83,0,140
16661,2012-12-01,4,1,12,23,0,6,0,2,0.32,0.3485,0.81,0,126
9822,2012-02-19,1,1,2,4,0,0,0,2,0.28,0.2576,0.41,0.3881,3
12924,2012-06-27,3,1,6,16,0,3,1,1,0.82,0.697,0.24,0.4478,392
1888,2011-03-24,2,0,3,10,0,4,1,2,0.26,0.2273,0.93,0.3284,65
3387,2011-05-26,2,0,5,0,0,4,1,1,0.64,0.6061,0.73,0.1343,45
1994,2011-03-28,2,0,3,22,0,1,1,1,0.3,0.2879,0.22,0.2239,40
7550,2011-11-16,4,0,11,4,0,3,1,2,0.44,0.4394,1,0.2239,4
3138,2011-05-15,2,0,5,15,0,0,0,1,0.66,0.6212,0.69,0.2537,459
3543,2011-06-01,2,0,6,12,0,3,1,1,0.86,0.8333,0.53,0,169
13787,2012-08-02,3,1,8,15,0,4,1,1,0.78,0.7424,0.62,0.4627,270
5912,2011-09-08,3,0,9,20,0,4,1,2,0.62,0.5455,0.94,0.1642,89
13440,2012-07-19,3,1,7,4,0,4,1,1,0.72,0.6818,0.7,0.1045,8
6896,2011-10-19,4,0,10,22,0,3,1,2,0.58,0.5455,0.94,0.3582,107
4780,2011-07-23,3,0,7,1,0,6,0,1,0.82,0.7727,0.52,0.1045,70
13801,2012-08-03,3,1,8,5,0,5,1,1,0.66,0.6061,0.83,0.1642,37
2405,2011-04-15,2,0,4,2,1,5,0,1,0.4,0.4091,0.76,0,18
191,2011-01-09,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,1
15458,2012-10-11,4,1,10,6,0,4,1,1,0.36,0.3485,0.5,0.1642,159
5026,2011-08-02,3,0,8,7,0,2,1,1,0.72,0.6667,0.61,0.2836,335
17073,2012-12-19,4,1,12,3,0,3,1,1,0.26,0.2727,0.75,0.1343,5
3687,2011-06-07,2,0,6,12,0,2,1,2,0.8,0.7273,0.46,0.2836,183
9712,2012-02-14,1,1,2,14,0,2,1,1,0.4,0.4091,0.4,0.2239,124
15399,2012-10-08,4,1,10,19,1,1,0,2,0.4,0.4091,0.71,0.2537,371
10401,2012-03-14,1,1,3,11,0,3,1,2,0.62,0.6212,0.41,0.1642,220
15500,2012-10-13,4,1,10,0,0,6,0,1,0.36,0.3636,0.57,0.0896,249
8161,2011-12-11,4,0,12,16,0,0,0,1,0.3,0.3333,0.26,0,206
12256,2012-05-30,2,1,5,20,0,3,1,2,0.54,0.5152,0.6,0.1343,431
15953,2012-11-02,4,1,11,9,0,5,1,1,0.34,0.3485,0.53,0.1045,382
10018,2012-02-27,1,1,2,10,0,1,1,1,0.32,0.303,0.45,0.2537,104
8457,2011-12-24,1,0,12,0,0,6,0,2,0.32,0.3182,0.7,0.1642,23
12649,2012-06-16,2,1,6,5,0,6,0,1,0.54,0.5152,0.68,0.1045,23
11819,2012-05-12,2,1,5,15,0,6,0,1,0.68,0.6212,0.24,0.194,590
6150,2011-09-18,3,0,9,19,0,0,0,2,0.54,0.5152,0.68,0.1045,245
16807,2012-12-08,4,1,12,1,0,6,0,2,0.36,0.3485,0.93,0.1343,100
3907,2011-06-16,2,0,6,16,0,4,1,3,0.66,0.6212,0.69,0.194,294
13757,2012-08-01,3,1,8,9,0,3,1,2,0.68,0.6364,0.74,0.0896,350
15690,2012-10-20,4,1,10,22,0,6,0,1,0.44,0.4394,0.51,0.1045,202
15018,2012-09-22,3,1,9,22,0,6,0,1,0.62,0.6212,0.57,0.194,239
15694,2012-10-21,4,1,10,2,0,0,0,1,0.4,0.4091,0.62,0.1642,132
17155,2012-12-22,1,1,12,13,0,6,0,1,0.32,0.2879,0.36,0.4478,158
6817,2011-10-16,4,0,10,14,0,0,0,1,0.6,0.6212,0.4,0.2985,462
6420,2011-09-30,4,0,9,1,0,5,1,1,0.52,0.5,0.77,0.0896,23
8426,2011-12-22,1,0,12,17,0,4,1,2,0.44,0.4394,0.67,0.1642,356
1575,2011-03-11,1,0,3,1,0,5,1,3,0.34,0.3485,1,0.1045,8
2952,2011-05-07,2,0,5,21,0,6,0,1,0.54,0.5152,0.49,0.2239,182
8953,2012-01-13,1,1,1,21,0,5,1,1,0.24,0.2121,0.41,0.2836,102
725,2011-02-02,1,0,2,13,0,3,1,1,0.34,0.3333,0.93,0.1642,75
4367,2011-07-05,3,0,7,20,0,2,1,1,0.76,0.7273,0.66,0.1045,284
13448,2012-07-19,3,1,7,12,0,4,1,1,0.84,0.7879,0.49,0.2836,274
2537,2011-04-20,2,0,4,14,0,3,1,1,0.74,0.6515,0.4,0.4627,148
3779,2011-06-11,2,0,6,8,0,6,0,1,0.74,0.6818,0.58,0.194,143
10809,2012-03-31,2,1,3,11,0,6,0,1,0.46,0.4545,0.72,0.1343,463
10609,2012-03-23,2,1,3,3,0,5,1,1,0.52,0.5,0.88,0.1045,10
1076,2011-02-17,1,0,2,13,0,4,1,1,0.54,0.5152,0.34,0.2239,123
6357,2011-09-27,4,0,9,10,0,2,1,3,0.64,0.5606,0.94,0.1642,122
8260,2011-12-15,4,0,12,19,0,4,1,2,0.52,0.5,0.59,0.2836,287
7932,2011-12-02,4,0,12,3,0,5,1,1,0.22,0.2727,0.8,0,1
17322,2012-12-29,1,1,12,14,0,6,0,2,0.24,0.2424,0.87,0.0896,98
5717,2011-08-31,3,0,8,15,0,3,1,1,0.74,0.6515,0.4,0.1343,172
11896,2012-05-15,2,1,5,20,0,2,1,3,0.64,0.6061,0.73,0.1343,263
3544,2011-06-01,2,0,6,13,0,3,1,1,0.9,0.8182,0.37,0.194,154
562,2011-01-25,1,0,1,14,0,2,1,2,0.3,0.3333,0.45,0,68
7235,2011-11-03,4,0,11,1,0,4,1,1,0.34,0.3333,0.81,0.1343,15
11785,2012-05-11,2,1,5,5,0,5,1,1,0.42,0.4242,0.47,0.1642,26
1517,2011-03-08,1,0,3,13,0,2,1,2,0.38,0.3939,0.25,0.1045,98
13636,2012-07-27,3,1,7,8,0,5,1,1,0.76,0.7273,0.66,0.0896,676
14847,2012-09-15,3,1,9,19,0,6,0,1,0.62,0.6212,0.41,0.1642,478
10954,2012-04-06,2,1,4,13,0,5,1,1,0.44,0.4394,0.33,0.3284,411
674,2011-01-31,1,0,1,9,0,1,1,2,0.16,0.1364,0.59,0.2985,112
2450,2011-04-16,2,0,4,23,0,6,0,2,0.44,0.4394,0.77,0.2836,35
8343,2011-12-19,4,0,12,6,0,1,1,1,0.16,0.1818,0.86,0.1045,68
16650,2012-12-01,4,1,12,12,0,6,0,2,0.32,0.3333,0.81,0.0896,446
14216,2012-08-20,3,1,8,12,0,1,1,2,0.66,0.6212,0.61,0.1045,282
11928,2012-05-17,2,1,5,4,0,4,1,1,0.6,0.6061,0.64,0.3284,16
11280,2012-04-20,2,1,4,4,0,5,1,1,0.42,0.4242,0.94,0.1045,3
581,2011-01-26,1,0,1,11,0,3,1,3,0.22,0.197,0.93,0.3284,41
6279,2011-09-24,4,0,9,4,0,6,0,1,0.56,0.5303,0.94,0.1045,8
8630,2011-12-31,1,0,12,8,0,6,0,1,0.34,0.3333,0.81,0.1343,49
9790,2012-02-17,1,1,2,20,0,5,1,1,0.4,0.4091,0.35,0.194,171
10993,2012-04-08,2,1,4,4,0,0,0,1,0.4,0.4091,0.4,0,7
4656,2011-07-17,3,0,7,21,0,0,0,1,0.74,0.6818,0.62,0.2239,207
16117,2012-11-09,4,1,11,6,0,5,1,1,0.26,0.2727,0.65,0.1045,131
16061,2012-11-06,4,1,11,21,0,2,1,2,0.3,0.2879,0.56,0.2537,151
16647,2012-12-01,4,1,12,9,0,6,0,2,0.26,0.2424,0.93,0.2537,193
11464,2012-04-27,2,1,4,20,0,5,1,1,0.46,0.4545,0.31,0.2836,289
3402,2011-05-26,2,0,5,15,0,4,1,2,0.82,0.7576,0.46,0.2836,141
1755,2011-03-18,1,0,3,19,0,5,1,1,0.66,0.6212,0.44,0.1343,190
10372,2012-03-13,1,1,3,6,0,2,1,3,0.46,0.4545,0.82,0.194,113
4227,2011-06-30,3,0,6,0,0,4,1,1,0.66,0.6212,0.5,0.1642,54
198,2011-01-09,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,83
13088,2012-07-04,3,1,7,12,1,3,0,1,0.86,0.7879,0.41,0.2239,494
6131,2011-09-18,3,0,9,0,0,0,0,1,0.46,0.4545,0.77,0.2239,112
7892,2011-11-30,4,0,11,11,0,3,1,1,0.38,0.3939,0.54,0.2985,122
14557,2012-09-03,3,1,9,17,1,1,0,1,0.74,0.697,0.7,0.1343,498
11617,2012-05-04,2,1,5,5,0,5,1,1,0.56,0.5303,0.88,0.194,24
14167,2012-08-18,3,1,8,11,0,6,0,1,0.72,0.6667,0.51,0,536
5057,2011-08-03,3,0,8,14,0,3,1,2,0.76,0.7121,0.58,0.2239,147
15229,2012-10-01,4,1,10,17,0,1,1,3,0.56,0.5303,0.6,0.2537,856
937,2011-02-11,1,0,2,15,0,5,1,1,0.32,0.3182,0.21,0.1642,74
5132,2011-08-06,3,0,8,17,0,6,0,3,0.74,0.7121,0.79,0.1642,149
15431,2012-10-10,4,1,10,3,0,3,1,2,0.46,0.4545,0.88,0,6
16038,2012-11-05,4,1,11,22,0,1,1,1,0.28,0.2727,0.56,0.194,115
14540,2012-09-03,3,1,9,0,1,1,0,2,0.66,0.5909,0.94,0,104
409,2011-01-19,1,0,1,0,0,3,1,2,0.22,0.2727,0.93,0,3
4302,2011-07-03,3,0,7,3,0,0,0,3,0.68,0.6364,0.65,0.0896,33
13254,2012-07-11,3,1,7,10,0,3,1,2,0.72,0.6818,0.62,0.1343,195
2331,2011-04-12,2,0,4,0,0,2,1,2,0.62,0.6212,0.5,0.1045,24
11570,2012-05-02,2,1,5,6,0,3,1,3,0.56,0.5303,0.84,0,120
8053,2011-12-07,4,0,12,4,0,3,1,3,0.46,0.4545,1,0.1642,1
8335,2011-12-18,4,0,12,22,0,0,0,1,0.22,0.2273,0.75,0.194,49
13597,2012-07-25,3,1,7,17,0,3,1,1,0.8,0.697,0.31,0,913
3425,2011-05-27,2,0,5,14,0,5,1,1,0.76,0.697,0.55,0.2537,239
13560,2012-07-24,3,1,7,4,0,2,1,1,0.66,0.6061,0.83,0.0896,6
7916,2011-12-01,4,0,12,11,0,4,1,1,0.34,0.3182,0.49,0.2537,102
6667,2011-10-10,4,0,10,8,1,1,0,1,0.52,0.5,0.83,0,254
4256,2011-07-01,3,0,7,5,0,5,1,1,0.6,0.6061,0.64,0.1343,30
12396,2012-06-05,2,1,6,16,0,2,1,1,0.6,0.6212,0.43,0.194,473
16823,2012-12-08,4,1,12,17,0,6,0,1,0.38,0.3939,0.87,0.1343,345
14927,2012-09-19,3,1,9,3,0,3,1,2,0.52,0.5,0.63,0.2537,5
16187,2012-11-12,4,1,11,4,1,1,0,1,0.4,0.4091,0.76,0.0896,4
12143,2012-05-26,2,1,5,3,0,6,0,1,0.62,0.5606,0.88,0.1045,31
16124,2012-11-09,4,1,11,13,0,5,1,1,0.46,0.4545,0.38,0.2985,299
3753,2011-06-10,2,0,6,6,0,5,1,1,0.66,0.6061,0.78,0.0896,104
5545,2011-08-23,3,0,8,22,0,2,1,1,0.62,0.6212,0.57,0.1343,191
1123,2011-02-19,1,0,2,12,0,6,0,1,0.44,0.4394,0.18,0.4925,119
684,2011-01-31,1,0,1,19,0,1,1,1,0.3,0.3182,0.61,0.1045,111
308,2011-01-14,1,0,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642,70
1380,2011-03-02,1,0,3,18,0,3,1,1,0.46,0.4545,0.23,0.4925,201
446,2011-01-20,1,0,1,14,0,4,1,2,0.3,0.303,0.45,0.1343,81
10604,2012-03-22,2,1,3,22,0,4,1,1,0.56,0.5303,0.83,0.194,220
605,2011-01-28,1,0,1,10,0,5,1,3,0.18,0.2121,0.86,0.1045,49
1979,2011-03-28,2,0,3,7,0,1,1,1,0.2,0.1818,0.32,0.3284,110
1767,2011-03-19,1,0,3,7,0,6,0,1,0.4,0.4091,0.5,0.3284,13
2138,2011-04-03,2,0,4,22,0,0,0,1,0.4,0.4091,0.43,0.1045,36
10497,2012-03-18,1,1,3,11,0,0,0,2,0.44,0.4394,0.82,0.1642,368
15242,2012-10-02,4,1,10,6,0,2,1,3,0.58,0.5455,0.83,0.1045,179
1838,2011-03-22,2,0,3,7,0,2,1,2,0.4,0.4091,0.76,0.1045,136
1525,2011-03-08,1,0,3,21,0,2,1,1,0.3,0.2879,0.49,0.194,75
1814,2011-03-21,2,0,3,7,0,1,1,3,0.3,0.2727,0.87,0.4179,18
7672,2011-11-21,4,0,11,6,0,1,1,2,0.42,0.4242,1,0,76
11456,2012-04-27,2,1,4,12,0,5,1,1,0.46,0.4545,0.36,0.3582,307
13452,2012-07-19,3,1,7,16,0,4,1,1,0.84,0.7727,0.47,0.0896,358
3296,2011-05-22,2,0,5,5,0,0,0,1,0.5,0.4848,1,0.1045,6
13535,2012-07-23,3,1,7,3,0,1,1,2,0.66,0.5909,0.94,0.0896,2
12273,2012-05-31,2,1,5,13,0,4,1,1,0.74,0.6515,0.35,0.1343,293
7344,2011-11-07,4,0,11,14,0,1,1,1,0.56,0.5303,0.37,0.1642,145
7211,2011-11-02,4,0,11,1,0,3,1,1,0.3,0.3333,0.87,0,10
11536,2012-04-30,2,1,4,20,0,1,1,2,0.52,0.5,0.59,0.194,309
6872,2011-10-18,4,0,10,21,0,2,1,2,0.54,0.5152,0.68,0.1343,206
4540,2011-07-13,3,0,7,1,0,3,1,1,0.76,0.697,0.55,0,12
16646,2012-12-01,4,1,12,8,0,6,0,2,0.24,0.2424,0.87,0.1343,144
11626,2012-05-04,2,1,5,14,0,5,1,2,0.66,0.6212,0.74,0.2836,242
3893,2011-06-16,2,0,6,2,0,4,1,1,0.6,0.6212,0.56,0.0896,5
8762,2012-01-05,1,1,1,21,0,4,1,1,0.26,0.2727,0.6,0.1343,97
17053,2012-12-18,4,1,12,7,0,2,1,1,0.36,0.3485,0.93,0.1343,355
9889,2012-02-22,1,1,2,1,0,3,1,1,0.32,0.3333,0.7,0.1343,7
8834,2012-01-08,1,1,1,21,0,0,0,1,0.28,0.2727,0.56,0.2239,91
10396,2012-03-14,1,1,3,6,0,3,1,1,0.44,0.4394,0.82,0.0896,121
13458,2012-07-19,3,1,7,22,0,4,1,3,0.66,0.5909,0.89,0.2537,68
6232,2011-09-22,3,0,9,5,0,4,1,2,0.6,0.5152,0.94,0.1045,30
12718,2012-06-19,2,1,6,2,0,2,1,2,0.6,0.5758,0.78,0.1343,15
13401,2012-07-17,3,1,7,13,0,2,1,1,0.92,0.8182,0.31,0.194,221
10595,2012-03-22,2,1,3,13,0,4,1,1,0.58,0.5455,0.78,0.0896,298
3222,2011-05-19,2,0,5,3,0,4,1,1,0.48,0.4697,1,0,4
800,2011-02-05,1,0,2,18,0,6,0,2,0.28,0.2424,0.93,0.4478,83
3253,2011-05-20,2,0,5,10,0,5,1,1,0.56,0.5303,0.64,0.194,148
5935,2011-09-09,3,0,9,19,0,5,1,1,0.66,0.5909,0.89,0.1642,349
3628,2011-06-05,2,0,6,1,0,0,0,2,0.64,0.6212,0.61,0.1642,96
192,2011-01-09,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,1
13643,2012-07-27,3,1,7,15,0,5,1,1,0.86,0.7879,0.41,0.2239,323
5958,2011-09-10,3,0,9,18,0,6,0,1,0.72,0.6667,0.58,0.194,360
14453,2012-08-30,3,1,8,9,0,4,1,1,0.7,0.6515,0.58,0,396
16383,2012-11-20,4,1,11,8,0,2,1,1,0.34,0.3333,0.71,0.1343,665
3251,2011-05-20,2,0,5,8,0,5,1,1,0.54,0.5152,0.68,0,517
3808,2011-06-12,2,0,6,13,0,0,0,1,0.78,0.7424,0.59,0.2836,373
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,33
16152,2012-11-10,4,1,11,17,0,6,0,1,0.5,0.4848,0.45,0.194,501
12607,2012-06-14,2,1,6,11,0,4,1,1,0.66,0.6212,0.57,0.2537,228
9191,2012-01-23,1,1,1,20,0,1,1,2,0.26,0.2576,1,0.1642,169
6568,2011-10-06,4,0,10,5,0,4,1,1,0.42,0.4242,0.62,0.194,24
13999,2012-08-11,3,1,8,11,0,6,0,1,0.74,0.697,0.66,0.1642,499
15722,2012-10-22,4,1,10,6,0,1,1,1,0.36,0.3636,0.76,0.0896,144
1346,2011-03-01,1,0,3,8,0,2,1,1,0.2,0.1818,0.59,0.3881,214
8293,2011-12-17,4,0,12,4,0,6,0,1,0.24,0.2424,0.65,0.1642,9
11033,2012-04-09,2,1,4,20,0,1,1,1,0.5,0.4848,0.36,0.4478,276
13061,2012-07-03,3,1,7,9,0,2,1,1,0.8,0.7424,0.49,0.1642,272
11346,2012-04-22,2,1,4,22,0,0,0,3,0.34,0.2879,0.87,0.5224,13
2762,2011-04-29,2,0,4,23,0,5,1,2,0.44,0.4394,0.54,0.0896,113
4931,2011-07-29,3,0,7,8,0,5,1,2,0.76,0.7727,0.77,0,384
4221,2011-06-29,3,0,6,18,0,3,1,1,0.8,0.697,0.29,0.2985,588
3713,2011-06-08,2,0,6,14,0,3,1,1,0.92,0.8788,0.4,0.2537,155
2120,2011-04-03,2,0,4,4,0,0,0,1,0.28,0.303,0.7,0.0896,3
16877,2012-12-10,4,1,12,23,0,1,1,1,0.46,0.4545,0.88,0.2537,84
10853,2012-04-02,2,1,4,8,0,1,1,1,0.36,0.3333,0.57,0.3284,589
1383,2011-03-02,1,0,3,21,0,3,1,1,0.34,0.2879,0.29,0.4627,71
15423,2012-10-09,4,1,10,19,0,2,1,2,0.5,0.4848,0.72,0.1642,514
8155,2011-12-11,4,0,12,10,0,0,0,1,0.24,0.2879,0.44,0,194
12219,2012-05-29,2,1,5,7,0,2,1,1,0.66,0.6061,0.78,0.2239,450
16559,2012-11-27,4,1,11,16,0,2,1,2,0.3,0.2727,0.75,0.2985,257
3756,2011-06-10,2,0,6,9,0,5,1,1,0.76,0.697,0.55,0,213
16960,2012-12-14,4,1,12,10,0,5,1,1,0.26,0.2576,0.81,0.194,190
7304,2011-11-05,4,0,11,22,0,6,0,1,0.3,0.3333,0.65,0,82
11596,2012-05-03,2,1,5,8,0,4,1,3,0.46,0.4545,0.88,0.194,627
2248,2011-04-08,2,0,4,12,0,5,1,3,0.38,0.3939,0.66,0.2239,80
17122,2012-12-21,1,1,12,4,0,5,1,2,0.36,0.3182,0.71,0.4925,6
3005,2011-05-10,2,0,5,2,0,2,1,1,0.44,0.4394,0.58,0.1343,5
9145,2012-01-21,1,1,1,22,0,6,0,2,0.18,0.1667,0.74,0.2985,59
2045,2011-03-31,2,0,3,1,0,4,1,3,0.24,0.2273,0.93,0.194,5
11876,2012-05-15,2,1,5,0,0,2,1,2,0.56,0.5303,0.88,0.1343,32
12617,2012-06-14,2,1,6,21,0,4,1,1,0.64,0.6061,0.65,0.1642,337
17160,2012-12-22,1,1,12,18,0,6,0,1,0.26,0.2121,0.44,0.4627,82
4039,2011-06-22,3,0,6,4,0,3,1,1,0.64,0.5758,0.83,0,11
5298,2011-08-13,3,0,8,15,0,6,0,3,0.68,0.6364,0.79,0.3582,358
2547,2011-04-21,2,0,4,0,0,4,1,1,0.56,0.5303,0.43,0.3582,44
4245,2011-06-30,3,0,6,18,0,4,1,1,0.76,0.6667,0.29,0.2537,586
6451,2011-10-01,4,0,10,8,0,6,0,2,0.4,0.4091,0.76,0.3284,67
13670,2012-07-28,3,1,7,18,0,6,0,1,0.82,0.7424,0.43,0.2836,481
